Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0,1318.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0,814.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0,730.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0,907.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0,618.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0,730.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0,1123.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0,882.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0,1179.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0,973.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0,961.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0,1448.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0,1077.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0,1075.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0,1120.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0,1678.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0,1406.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0,1739.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0,1259.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0,1496.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0,1019.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,945.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,1100.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,1172.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0,723.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0,669.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0,666.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0,859.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0,638.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,537.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0,587.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0,949.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0015,675.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0,578.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0,633.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0,784.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.0,628.0
Black-bellied Whistling-Duck,10,2,Oct_W2,0.0,630.0
Black-bellied Whistling-Duck,10,3,Oct_W3,0.0,594.0
Black-bellied Whistling-Duck,10,4,Oct_W4,0.0,770.0
Black-bellied Whistling-Duck,11,1,Nov_W1,0.0,692.0
Black-bellied Whistling-Duck,11,2,Nov_W2,0.0,612.0
Black-bellied Whistling-Duck,11,3,Nov_W3,0.0,465.0
Black-bellied Whistling-Duck,11,4,Nov_W4,0.0,689.0
Black-bellied Whistling-Duck,12,1,Dec_W1,0.0,522.0
Black-bellied Whistling-Duck,12,2,Dec_W2,0.0,460.0
Black-bellied Whistling-Duck,12,3,Dec_W3,0.0,446.0
Black-bellied Whistling-Duck,12,4,Dec_W4,0.0,1216.0
Snow Goose,1,1,Jan_W1,0.0045524,1318.0
Snow Goose,1,2,Jan_W2,0.007371,814.0
Snow Goose,1,3,Jan_W3,0.0123288,730.0
Snow Goose,1,4,Jan_W4,0.0209482,907.0
Snow Goose,2,1,Feb_W1,0.02589,618.0
Snow Goose,2,2,Feb_W2,0.0041096,730.0
Snow Goose,2,3,Feb_W3,0.0124666,1123.0
Snow Goose,2,4,Feb_W4,0.015873,882.0
Snow Goose,3,1,Mar_W1,0.0042409,1179.0
Snow Goose,3,2,Mar_W2,0.0267215,973.0
Snow Goose,3,3,Mar_W3,0.0104058,961.0
Snow Goose,3,4,Mar_W4,0.0089779,1448.0
Snow Goose,4,1,Apr_W1,0.001857,1077.0
Snow Goose,4,2,Apr_W2,0.0027907,1075.0
Snow Goose,4,3,Apr_W3,0.0,1120.0
Snow Goose,4,4,Apr_W4,0.0005959,1678.0
Snow Goose,5,1,May_W1,0.0007112,1406.0
Snow Goose,5,2,May_W2,0.0,1739.0
Snow Goose,5,3,May_W3,0.0,1259.0
Snow Goose,5,4,May_W4,0.0,1496.0
Snow Goose,6,1,Jun_W1,0.0,1019.0
Snow Goose,6,2,Jun_W2,0.0,945.0
Snow Goose,6,3,Jun_W3,0.0,1100.0
Snow Goose,6,4,Jun_W4,0.0,1172.0
Snow Goose,7,1,Jul_W1,0.0,723.0
Snow Goose,7,2,Jul_W2,0.0,669.0
Snow Goose,7,3,Jul_W3,0.0,666.0
Snow Goose,7,4,Jul_W4,0.0,859.0
Snow Goose,8,1,Aug_W1,0.0,638.0
Snow Goose,8,2,Aug_W2,0.0,537.0
Snow Goose,8,3,Aug_W3,0.0,587.0
Snow Goose,8,4,Aug_W4,0.0,949.0
Snow Goose,9,1,Sep_W1,0.0,675.0
Snow Goose,9,2,Sep_W2,0.0,578.0
Snow Goose,9,3,Sep_W3,0.0015798,633.0
Snow Goose,9,4,Sep_W4,0.002551,784.0
Snow Goose,10,1,Oct_W1,0.0063694,628.0
Snow Goose,10,2,Oct_W2,0.0031746,630.0
Snow Goose,10,3,Oct_W3,0.0050505,594.0
Snow Goose,10,4,Oct_W4,0.0181818,770.0
Snow Goose,11,1,Nov_W1,0.0144509,692.0
Snow Goose,11,2,Nov_W2,0.0081699,612.0
Snow Goose,11,3,Nov_W3,0.0107527,465.0
Snow Goose,11,4,Nov_W4,0.011611,689.0
Snow Goose,12,1,Dec_W1,0.0057471,522.0
Snow Goose,12,2,Dec_W2,0.0217391,460.0
Snow Goose,12,3,Dec_W3,0.0156951,446.0
Snow Goose,12,4,Dec_W4,0.0098684,1216.0
Ross's Goose,1,1,Jan_W1,0.0068285,1318.0
Ross's Goose,1,2,Jan_W2,0.0012285,814.0
Ross's Goose,1,3,Jan_W3,0.0015,730.0
Ross's Goose,1,4,Jan_W4,0.0022051,907.0
Ross's Goose,2,1,Feb_W1,0.0048544,618.0
Ross's Goose,2,2,Feb_W2,0.0068493,730.0
Ross's Goose,2,3,Feb_W3,0.0035619,1123.0
Ross's Goose,2,4,Feb_W4,0.0045351,882.0
Ross's Goose,3,1,Mar_W1,0.0008482,1179.0
Ross's Goose,3,2,Mar_W2,0.0154162,973.0
Ross's Goose,3,3,Mar_W3,0.024974,961.0
Ross's Goose,3,4,Mar_W4,0.0110497,1448.0
Ross's Goose,4,1,Apr_W1,0.0,1077.0
Ross's Goose,4,2,Apr_W2,0.0,1075.0
Ross's Goose,4,3,Apr_W3,0.0008929,1120.0
Ross's Goose,4,4,Apr_W4,0.0005959,1678.0
Ross's Goose,5,1,May_W1,0.0,1406.0
Ross's Goose,5,2,May_W2,0.0,1739.0
Ross's Goose,5,3,May_W3,0.0,1259.0
Ross's Goose,5,4,May_W4,0.0,1496.0
Ross's Goose,6,1,Jun_W1,0.0,1019.0
Ross's Goose,6,2,Jun_W2,0.0,945.0
Ross's Goose,6,3,Jun_W3,0.0,1100.0
Ross's Goose,6,4,Jun_W4,0.0,1172.0
Ross's Goose,7,1,Jul_W1,0.0,723.0
Ross's Goose,7,2,Jul_W2,0.0,669.0
Ross's Goose,7,3,Jul_W3,0.0,666.0
Ross's Goose,7,4,Jul_W4,0.0,859.0
Ross's Goose,8,1,Aug_W1,0.0,638.0
Ross's Goose,8,2,Aug_W2,0.0,537.0
Ross's Goose,8,3,Aug_W3,0.0,587.0
Ross's Goose,8,4,Aug_W4,0.0,949.0
Ross's Goose,9,1,Sep_W1,0.0,675.0
Ross's Goose,9,2,Sep_W2,0.0,578.0
Ross's Goose,9,3,Sep_W3,0.0,633.0
Ross's Goose,9,4,Sep_W4,0.0,784.0
Ross's Goose,10,1,Oct_W1,0.0,628.0
Ross's Goose,10,2,Oct_W2,0.0015873,630.0
Ross's Goose,10,3,Oct_W3,0.0,594.0
Ross's Goose,10,4,Oct_W4,0.0038961,770.0
Ross's Goose,11,1,Nov_W1,0.0015,692.0
Ross's Goose,11,2,Nov_W2,0.0015,612.0
Ross's Goose,11,3,Nov_W3,0.0107527,465.0
Ross's Goose,11,4,Nov_W4,0.0145138,689.0
Ross's Goose,12,1,Dec_W1,0.0038314,522.0
Ross's Goose,12,2,Dec_W2,0.0130435,460.0
Ross's Goose,12,3,Dec_W3,0.0067265,446.0
