Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0,1793.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0,1127.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0,989.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0,1451.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0,1095.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0,1357.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0,1739.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0,1234.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0,1476.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0,1729.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0,1587.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0,2139.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0,1627.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0,1769.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0019259,2077.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0100282,3191.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0026938,3341.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0,3723.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0041223,2911.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0,2675.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0,1385.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,1232.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,1014.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,1291.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0,1170.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0,1089.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0,957.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0,1420.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0,1025.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,1045.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0,1008.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0,1477.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0,1330.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0,1091.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0,1163.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0,1437.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.0,1156.0
Black-bellied Whistling-Duck,10,2,Oct_W2,0.0,1241.0
Black-bellied Whistling-Duck,10,3,Oct_W3,0.0,982.0
Black-bellied Whistling-Duck,10,4,Oct_W4,0.0,1375.0
Black-bellied Whistling-Duck,11,1,Nov_W1,0.0,951.0
Black-bellied Whistling-Duck,11,2,Nov_W2,0.0,946.0
Black-bellied Whistling-Duck,11,3,Nov_W3,0.0,832.0
Black-bellied Whistling-Duck,11,4,Nov_W4,0.0,1183.0
Black-bellied Whistling-Duck,12,1,Dec_W1,0.0,767.0
Black-bellied Whistling-Duck,12,2,Dec_W2,0.0,785.0
Black-bellied Whistling-Duck,12,3,Dec_W3,0.0,1398.0
Black-bellied Whistling-Duck,12,4,Dec_W4,0.0,1222.0
Snow Goose,1,1,Jan_W1,0.0011154,1793.0
Snow Goose,1,2,Jan_W2,0.0070985,1127.0
Snow Goose,1,3,Jan_W3,0.0010111,989.0
Snow Goose,1,4,Jan_W4,0.0055134,1451.0
Snow Goose,2,1,Feb_W1,0.0015,1095.0
Snow Goose,2,2,Feb_W2,0.0,1357.0
Snow Goose,2,3,Feb_W3,0.0046003,1739.0
Snow Goose,2,4,Feb_W4,0.0105348,1234.0
Snow Goose,3,1,Mar_W1,0.0162602,1476.0
Snow Goose,3,2,Mar_W2,0.0098323,1729.0
Snow Goose,3,3,Mar_W3,0.0119723,1587.0
Snow Goose,3,4,Mar_W4,0.0065451,2139.0
Snow Goose,4,1,Apr_W1,0.0012293,1627.0
Snow Goose,4,2,Apr_W2,0.0,1769.0
Snow Goose,4,3,Apr_W3,0.0004815,2077.0
Snow Goose,4,4,Apr_W4,0.0003134,3191.0
Snow Goose,5,1,May_W1,0.0,3341.0
Snow Goose,5,2,May_W2,0.0,3723.0
Snow Goose,5,3,May_W3,0.0003435,2911.0
Snow Goose,5,4,May_W4,0.0,2675.0
Snow Goose,6,1,Jun_W1,0.0,1385.0
Snow Goose,6,2,Jun_W2,0.0,1232.0
Snow Goose,6,3,Jun_W3,0.0,1014.0
Snow Goose,6,4,Jun_W4,0.0,1291.0
Snow Goose,7,1,Jul_W1,0.0,1170.0
Snow Goose,7,2,Jul_W2,0.0,1089.0
Snow Goose,7,3,Jul_W3,0.0,957.0
Snow Goose,7,4,Jul_W4,0.0,1420.0
Snow Goose,8,1,Aug_W1,0.0,1025.0
Snow Goose,8,2,Aug_W2,0.0,1045.0
Snow Goose,8,3,Aug_W3,0.0,1008.0
Snow Goose,8,4,Aug_W4,0.0,1477.0
Snow Goose,9,1,Sep_W1,0.0,1330.0
Snow Goose,9,2,Sep_W2,0.0,1091.0
Snow Goose,9,3,Sep_W3,0.0,1163.0
Snow Goose,9,4,Sep_W4,0.0,1437.0
Snow Goose,10,1,Oct_W1,0.0008651,1156.0
Snow Goose,10,2,Oct_W2,0.004029,1241.0
Snow Goose,10,3,Oct_W3,0.0050916,982.0
Snow Goose,10,4,Oct_W4,0.0094545,1375.0
Snow Goose,11,1,Nov_W1,0.0105152,951.0
Snow Goose,11,2,Nov_W2,0.0063425,946.0
Snow Goose,11,3,Nov_W3,0.0060096,832.0
Snow Goose,11,4,Nov_W4,0.0084531,1183.0
Snow Goose,12,1,Dec_W1,0.0052151,767.0
Snow Goose,12,2,Dec_W2,0.0025478,785.0
Snow Goose,12,3,Dec_W3,0.0014306,1398.0
Snow Goose,12,4,Dec_W4,0.0016367,1222.0
Ross's Goose,1,1,Jan_W1,0.0,1793.0
Ross's Goose,1,2,Jan_W2,0.0177462,1127.0
Ross's Goose,1,3,Jan_W3,0.0030334,989.0
Ross's Goose,1,4,Jan_W4,0.0027567,1451.0
Ross's Goose,2,1,Feb_W1,0.0,1095.0
Ross's Goose,2,2,Feb_W2,0.0,1357.0
Ross's Goose,2,3,Feb_W3,0.0,1739.0
Ross's Goose,2,4,Feb_W4,0.0040519,1234.0
Ross's Goose,3,1,Mar_W1,0.0162602,1476.0
Ross's Goose,3,2,Mar_W2,0.0069404,1729.0
Ross's Goose,3,3,Mar_W3,0.0012602,1587.0
Ross's Goose,3,4,Mar_W4,0.00187,2139.0
Ross's Goose,4,1,Apr_W1,0.0,1627.0
Ross's Goose,4,2,Apr_W2,0.0,1769.0
Ross's Goose,4,3,Apr_W3,0.0019259,2077.0
Ross's Goose,4,4,Apr_W4,0.0009401,3191.0
Ross's Goose,5,1,May_W1,0.0011972,3341.0
Ross's Goose,5,2,May_W2,0.0,3723.0
Ross's Goose,5,3,May_W3,0.0,2911.0
Ross's Goose,5,4,May_W4,0.0,2675.0
Ross's Goose,6,1,Jun_W1,0.0,1385.0
Ross's Goose,6,2,Jun_W2,0.0,1232.0
Ross's Goose,6,3,Jun_W3,0.0,1014.0
Ross's Goose,6,4,Jun_W4,0.0,1291.0
Ross's Goose,7,1,Jul_W1,0.0,1170.0
Ross's Goose,7,2,Jul_W2,0.0,1089.0
Ross's Goose,7,3,Jul_W3,0.0,957.0
Ross's Goose,7,4,Jul_W4,0.0,1420.0
Ross's Goose,8,1,Aug_W1,0.0,1025.0
Ross's Goose,8,2,Aug_W2,0.0,1045.0
Ross's Goose,8,3,Aug_W3,0.0,1008.0
Ross's Goose,8,4,Aug_W4,0.0,1477.0
Ross's Goose,9,1,Sep_W1,0.0,1330.0
Ross's Goose,9,2,Sep_W2,0.0,1091.0
Ross's Goose,9,3,Sep_W3,0.0,1163.0
Ross's Goose,9,4,Sep_W4,0.0,1437.0
Ross's Goose,10,1,Oct_W1,0.0,1156.0
Ross's Goose,10,2,Oct_W2,0.0,1241.0
Ross's Goose,10,3,Oct_W3,0.0,982.0
Ross's Goose,10,4,Oct_W4,0.0,1375.0
Ross's Goose,11,1,Nov_W1,0.0,951.0
Ross's Goose,11,2,Nov_W2,0.0021142,946.0
Ross's Goose,11,3,Nov_W3,0.0072115,832.0
Ross's Goose,11,4,Nov_W4,0.0084531,1183.0
Ross's Goose,12,1,Dec_W1,0.0065189,767.0
Ross's Goose,12,2,Dec_W2,0.0,785.0
Ross's Goose,12,3,Dec_W3,0.0,1398.0
Ross's Goose,12,4,Dec_W4,0.0,1222.0
Graylag Goose,1,1,Jan_W1,0.0016732,1793.0
Graylag Goose,1,2,Jan_W2,0.0088731,1127.0
