Species,Month,Week,Week_Label,Frequency,Sample_Size
Snow Goose,1,1,Jan_W1,0.0,214.0
Snow Goose,1,2,Jan_W2,0.0,114.0
Snow Goose,1,3,Jan_W3,0.0,128.0
Snow Goose,1,4,Jan_W4,0.0,96.0
Snow Goose,2,1,Feb_W1,0.0,98.0
Snow Goose,2,2,Feb_W2,0.0,131.0
Snow Goose,2,3,Feb_W3,0.0043478,230.0
Snow Goose,2,4,Feb_W4,0.0,72.0
Snow Goose,3,1,Mar_W1,0.0,131.0
Snow Goose,3,2,Mar_W2,0.0050251,199.0
Snow Goose,3,3,Mar_W3,0.0307018,228.0
Snow Goose,3,4,Mar_W4,0.0060976,164.0
Snow Goose,4,1,Apr_W1,0.0,145.0
Snow Goose,4,2,Apr_W2,0.0081967,122.0
Snow Goose,4,3,Apr_W3,0.0,58.0
Snow Goose,4,4,Apr_W4,0.0,146.0
Snow Goose,5,1,May_W1,0.0,112.0
Snow Goose,5,2,May_W2,0.0,101.0
Snow Goose,5,3,May_W3,0.0,128.0
Snow Goose,5,4,May_W4,0.0,142.0
Snow Goose,6,1,Jun_W1,0.0,62.0
Snow Goose,6,2,Jun_W2,0.0,87.0
Snow Goose,6,3,Jun_W3,0.0,106.0
Snow Goose,6,4,Jun_W4,0.0,96.0
Snow Goose,7,1,Jul_W1,0.0,96.0
Snow Goose,7,2,Jul_W2,0.0,50.0
Snow Goose,7,3,Jul_W3,0.0,38.0
Snow Goose,7,4,Jul_W4,0.0,63.0
Snow Goose,8,1,Aug_W1,0.0,66.0
Snow Goose,8,2,Aug_W2,0.0,43.0
Snow Goose,8,3,Aug_W3,0.0,64.0
Snow Goose,8,4,Aug_W4,0.0,68.0
Snow Goose,9,1,Sep_W1,0.0,32.0
Snow Goose,9,2,Sep_W2,0.0,36.0
Snow Goose,9,3,Sep_W3,0.0,44.0
Snow Goose,9,4,Sep_W4,0.0,37.0
Snow Goose,10,1,Oct_W1,0.0,40.0
Snow Goose,10,2,Oct_W2,0.0,53.0
Snow Goose,10,3,Oct_W3,0.0,64.0
Snow Goose,10,4,Oct_W4,0.0,110.0
Snow Goose,11,1,Nov_W1,0.0,70.0
Snow Goose,11,2,Nov_W2,0.0217391,46.0
Snow Goose,11,3,Nov_W3,0.0,99.0
Snow Goose,11,4,Nov_W4,0.0,83.0
Snow Goose,12,1,Dec_W1,0.011236,89.0
Snow Goose,12,2,Dec_W2,0.0,55.0
Snow Goose,12,3,Dec_W3,0.0,119.0
Snow Goose,12,4,Dec_W4,0.0,166.0
Ross's Goose,1,1,Jan_W1,0.0,214.0
Ross's Goose,1,2,Jan_W2,0.0,114.0
Ross's Goose,1,3,Jan_W3,0.0,128.0
Ross's Goose,1,4,Jan_W4,0.0,96.0
Ross's Goose,2,1,Feb_W1,0.0,98.0
Ross's Goose,2,2,Feb_W2,0.0,131.0
Ross's Goose,2,3,Feb_W3,0.0,230.0
Ross's Goose,2,4,Feb_W4,0.0,72.0
Ross's Goose,3,1,Mar_W1,0.0,131.0
Ross's Goose,3,2,Mar_W2,0.0,199.0
Ross's Goose,3,3,Mar_W3,0.0,228.0
Ross's Goose,3,4,Mar_W4,0.0060976,164.0
Ross's Goose,4,1,Apr_W1,0.0,145.0
Ross's Goose,4,2,Apr_W2,0.0081967,122.0
Ross's Goose,4,3,Apr_W3,0.0,58.0
Ross's Goose,4,4,Apr_W4,0.0,146.0
Ross's Goose,5,1,May_W1,0.0,112.0
Ross's Goose,5,2,May_W2,0.0,101.0
Ross's Goose,5,3,May_W3,0.0,128.0
Ross's Goose,5,4,May_W4,0.0,142.0
Ross's Goose,6,1,Jun_W1,0.0,62.0
Ross's Goose,6,2,Jun_W2,0.0,87.0
Ross's Goose,6,3,Jun_W3,0.0,106.0
Ross's Goose,6,4,Jun_W4,0.0,96.0
Ross's Goose,7,1,Jul_W1,0.0,96.0
Ross's Goose,7,2,Jul_W2,0.0,50.0
Ross's Goose,7,3,Jul_W3,0.0,38.0
Ross's Goose,7,4,Jul_W4,0.0,63.0
Ross's Goose,8,1,Aug_W1,0.0,66.0
Ross's Goose,8,2,Aug_W2,0.0,43.0
Ross's Goose,8,3,Aug_W3,0.0,64.0
Ross's Goose,8,4,Aug_W4,0.0,68.0
Ross's Goose,9,1,Sep_W1,0.0,32.0
Ross's Goose,9,2,Sep_W2,0.0,36.0
Ross's Goose,9,3,Sep_W3,0.0,44.0
Ross's Goose,9,4,Sep_W4,0.0,37.0
Ross's Goose,10,1,Oct_W1,0.0,40.0
Ross's Goose,10,2,Oct_W2,0.0,53.0
Ross's Goose,10,3,Oct_W3,0.0,64.0
Ross's Goose,10,4,Oct_W4,0.0,110.0
Ross's Goose,11,1,Nov_W1,0.0,70.0
Ross's Goose,11,2,Nov_W2,0.0,46.0
Ross's Goose,11,3,Nov_W3,0.0,99.0
Ross's Goose,11,4,Nov_W4,0.0,83.0
Ross's Goose,12,1,Dec_W1,0.0,89.0
Ross's Goose,12,2,Dec_W2,0.0,55.0
Ross's Goose,12,3,Dec_W3,0.0,119.0
Ross's Goose,12,4,Dec_W4,0.0,166.0
Greater White-fronted Goose,1,1,Jan_W1,0.0,214.0
Greater White-fronted Goose,1,2,Jan_W2,0.0,114.0
Greater White-fronted Goose,1,3,Jan_W3,0.0,128.0
Greater White-fronted Goose,1,4,Jan_W4,0.0104167,96.0
Greater White-fronted Goose,2,1,Feb_W1,0.0,98.0
Greater White-fronted Goose,2,2,Feb_W2,0.0,131.0
Greater White-fronted Goose,2,3,Feb_W3,0.0043478,230.0
Greater White-fronted Goose,2,4,Feb_W4,0.0,72.0
Greater White-fronted Goose,3,1,Mar_W1,0.0,131.0
Greater White-fronted Goose,3,2,Mar_W2,0.0050251,199.0
Greater White-fronted Goose,3,3,Mar_W3,0.0087719,228.0
Greater White-fronted Goose,3,4,Mar_W4,0.0243902,164.0
Greater White-fronted Goose,4,1,Apr_W1,0.0,145.0
Greater White-fronted Goose,4,2,Apr_W2,0.0,122.0
Greater White-fronted Goose,4,3,Apr_W3,0.0,58.0
Greater White-fronted Goose,4,4,Apr_W4,0.0,146.0
Greater White-fronted Goose,5,1,May_W1,0.0,112.0
Greater White-fronted Goose,5,2,May_W2,0.0,101.0
Greater White-fronted Goose,5,3,May_W3,0.0,128.0
Greater White-fronted Goose,5,4,May_W4,0.0,142.0
Greater White-fronted Goose,6,1,Jun_W1,0.0,62.0
Greater White-fronted Goose,6,2,Jun_W2,0.0,87.0
Greater White-fronted Goose,6,3,Jun_W3,0.0,106.0
Greater White-fronted Goose,6,4,Jun_W4,0.0,96.0
Greater White-fronted Goose,7,1,Jul_W1,0.0,96.0
Greater White-fronted Goose,7,2,Jul_W2,0.0,50.0
Greater White-fronted Goose,7,3,Jul_W3,0.0,38.0
Greater White-fronted Goose,7,4,Jul_W4,0.0,63.0
Greater White-fronted Goose,8,1,Aug_W1,0.0,66.0
Greater White-fronted Goose,8,2,Aug_W2,0.0,43.0
Greater White-fronted Goose,8,3,Aug_W3,0.0,64.0
Greater White-fronted Goose,8,4,Aug_W4,0.0,68.0
Greater White-fronted Goose,9,1,Sep_W1,0.0,32.0
Greater White-fronted Goose,9,2,Sep_W2,0.0,36.0
Greater White-fronted Goose,9,3,Sep_W3,0.0,44.0
Greater White-fronted Goose,9,4,Sep_W4,0.0,37.0
Greater White-fronted Goose,10,1,Oct_W1,0.0,40.0
Greater White-fronted Goose,10,2,Oct_W2,0.0,53.0
Greater White-fronted Goose,10,3,Oct_W3,0.0,64.0
Greater White-fronted Goose,10,4,Oct_W4,0.0,110.0
Greater White-fronted Goose,11,1,Nov_W1,0.0,70.0
Greater White-fronted Goose,11,2,Nov_W2,0.0,46.0
Greater White-fronted Goose,11,3,Nov_W3,0.0,99.0
Greater White-fronted Goose,11,4,Nov_W4,0.0120482,83.0
Greater White-fronted Goose,12,1,Dec_W1,0.0,89.0
Greater White-fronted Goose,12,2,Dec_W2,0.0,55.0
Greater White-fronted Goose,12,3,Dec_W3,0.0,119.0
Greater White-fronted Goose,12,4,Dec_W4,0.0,166.0
Cackling Goose,1,1,Jan_W1,0.0,214.0
Cackling Goose,1,2,Jan_W2,0.0,114.0
Cackling Goose,1,3,Jan_W3,0.0,128.0
Cackling Goose,1,4,Jan_W4,0.0,96.0
Cackling Goose,2,1,Feb_W1,0.0,98.0
Cackling Goose,2,2,Feb_W2,0.0,131.0
Cackling Goose,2,3,Feb_W3,0.0,230.0
Cackling Goose,2,4,Feb_W4,0.0,72.0
Cackling Goose,3,1,Mar_W1,0.0,131.0
Cackling Goose,3,2,Mar_W2,0.0050251,199.0
Cackling Goose,3,3,Mar_W3,0.0,228.0
Cackling Goose,3,4,Mar_W4,0.0,164.0
Cackling Goose,4,1,Apr_W1,0.0,145.0
Cackling Goose,4,2,Apr_W2,0.0,122.0
Cackling Goose,4,3,Apr_W3,0.0,58.0
Cackling Goose,4,4,Apr_W4,0.0,146.0
Cackling Goose,5,1,May_W1,0.0,112.0
Cackling Goose,5,2,May_W2,0.0,101.0
Cackling Goose,5,3,May_W3,0.0,128.0
Cackling Goose,5,4,May_W4,0.0,142.0
Cackling Goose,6,1,Jun_W1,0.0,62.0
Cackling Goose,6,2,Jun_W2,0.0,87.0
Cackling Goose,6,3,Jun_W3,0.0,106.0
Cackling Goose,6,4,Jun_W4,0.0,96.0
Cackling Goose,7,1,Jul_W1,0.0,96.0
Cackling Goose,7,2,Jul_W2,0.0,50.0
Cackling Goose,7,3,Jul_W3,0.0,38.0
Cackling Goose,7,4,Jul_W4,0.0,63.0
Cackling Goose,8,1,Aug_W1,0.0,66.0
Cackling Goose,8,2,Aug_W2,0.0,43.0
Cackling Goose,8,3,Aug_W3,0.0,64.0
Cackling Goose,8,4,Aug_W4,0.0,68.0
Cackling Goose,9,1,Sep_W1,0.0,32.0
Cackling Goose,9,2,Sep_W2,0.0,36.0
Cackling Goose,9,3,Sep_W3,0.0,44.0
Cackling Goose,9,4,Sep_W4,0.0,37.0
Cackling Goose,10,1,Oct_W1,0.0,40.0
Cackling Goose,10,2,Oct_W2,0.0,53.0
Cackling Goose,10,3,Oct_W3,0.0,64.0
Cackling Goose,10,4,Oct_W4,0.0,110.0
Cackling Goose,11,1,Nov_W1,0.0,70.0
Cackling Goose,11,2,Nov_W2,0.0,46.0
Cackling Goose,11,3,Nov_W3,0.030303,99.0
Cackling Goose,11,4,Nov_W4,0.0120482,83.0
Cackling Goose,12,1,Dec_W1,0.0,89.0
Cackling Goose,12,2,Dec_W2,0.0,55.0
Cackling Goose,12,3,Dec_W3,0.0,119.0
Cackling Goose,12,4,Dec_W4,0.0,166.0
Canada Goose,1,1,Jan_W1,0.1915888,214.0
Canada Goose,1,2,Jan_W2,0.1578947,114.0
Canada Goose,1,3,Jan_W3,0.1171875,128.0
Canada Goose,1,4,Jan_W4,0.09375,96.0
Canada Goose,2,1,Feb_W1,0.0816327,98.0
Canada Goose,2,2,Feb_W2,0.0916031,131.0
Canada Goose,2,3,Feb_W3,0.0782609,230.0
Canada Goose,2,4,Feb_W4,0.2916667,72.0
Canada Goose,3,1,Mar_W1,0.4122137,131.0
Canada Goose,3,2,Mar_W2,0.4522613,199.0
Canada Goose,3,3,Mar_W3,0.5350877,228.0
Canada Goose,3,4,Mar_W4,0.5304878,164.0
Canada Goose,4,1,Apr_W1,0.5034483,145.0
Canada Goose,4,2,Apr_W2,0.5081967,122.0
Canada Goose,4,3,Apr_W3,0.362069,58.0
Canada Goose,4,4,Apr_W4,0.4383562,146.0
Canada Goose,5,1,May_W1,0.5446429,112.0
Canada Goose,5,2,May_W2,0.3267327,101.0
Canada Goose,5,3,May_W3,0.3125,128.0
Canada Goose,5,4,May_W4,0.3169014,142.0
Canada Goose,6,1,Jun_W1,0.3064516,62.0
Canada Goose,6,2,Jun_W2,0.137931,87.0
Canada Goose,6,3,Jun_W3,0.1509434,106.0
