Species,Month,Week,Week_Label,Frequency,Sample_Size
Snow Goose,1,1,Jan_W1,0.0183028,1803.0
Snow Goose,1,2,Jan_W2,0.0097697,1433.0
Snow Goose,1,3,Jan_W3,0.0095941,1355.0
Snow Goose,1,4,Jan_W4,0.0093664,1815.0
Snow Goose,2,1,Feb_W1,0.0045662,1314.0
Snow Goose,2,2,Feb_W2,0.0005562,1798.0
Snow Goose,2,3,Feb_W3,0.0,2781.0
Snow Goose,2,4,Feb_W4,0.002,1500.0
Snow Goose,3,1,Mar_W1,0.0,1540.0
Snow Goose,3,2,Mar_W2,0.0170213,1880.0
Snow Goose,3,3,Mar_W3,0.0005291,1890.0
Snow Goose,3,4,Mar_W4,0.0003627,2757.0
Snow Goose,4,1,Apr_W1,0.0015015,1998.0
Snow Goose,4,2,Apr_W2,0.0015,2084.0
Snow Goose,4,3,Apr_W3,0.0,2057.0
Snow Goose,4,4,Apr_W4,0.0,2935.0
Snow Goose,5,1,May_W1,0.0,2706.0
Snow Goose,5,2,May_W2,0.0,2743.0
Snow Goose,5,3,May_W3,0.0,2021.0
Snow Goose,5,4,May_W4,0.0,1937.0
Snow Goose,6,1,Jun_W1,0.0,1037.0
Snow Goose,6,2,Jun_W2,0.0,973.0
Snow Goose,6,3,Jun_W3,0.0,1003.0
Snow Goose,6,4,Jun_W4,0.0,1151.0
Snow Goose,7,1,Jul_W1,0.0,887.0
Snow Goose,7,2,Jul_W2,0.0,744.0
Snow Goose,7,3,Jul_W3,0.0,693.0
Snow Goose,7,4,Jul_W4,0.0,1147.0
Snow Goose,8,1,Aug_W1,0.0,903.0
Snow Goose,8,2,Aug_W2,0.0,786.0
Snow Goose,8,3,Aug_W3,0.0,740.0
Snow Goose,8,4,Aug_W4,0.0,1296.0
Snow Goose,9,1,Sep_W1,0.0,1267.0
Snow Goose,9,2,Sep_W2,0.0,1396.0
Snow Goose,9,3,Sep_W3,0.0015987,1251.0
Snow Goose,9,4,Sep_W4,0.0059445,1514.0
Snow Goose,10,1,Oct_W1,0.0008019,1247.0
Snow Goose,10,2,Oct_W2,0.0032976,1213.0
Snow Goose,10,3,Oct_W3,0.0063579,1101.0
Snow Goose,10,4,Oct_W4,0.0051737,1353.0
Snow Goose,11,1,Nov_W1,0.0047985,1042.0
Snow Goose,11,2,Nov_W2,0.0070779,989.0
Snow Goose,11,3,Nov_W3,0.0197505,962.0
Snow Goose,11,4,Nov_W4,0.0160473,1184.0
Snow Goose,12,1,Dec_W1,0.0152339,919.0
Snow Goose,12,2,Dec_W2,0.0112486,889.0
Snow Goose,12,3,Dec_W3,0.0031813,943.0
Snow Goose,12,4,Dec_W4,0.0015163,1319.0
Ross's Goose,1,1,Jan_W1,0.0061009,1803.0
Ross's Goose,1,2,Jan_W2,0.0,1433.0
Ross's Goose,1,3,Jan_W3,0.000738,1355.0
Ross's Goose,1,4,Jan_W4,0.0082645,1815.0
Ross's Goose,2,1,Feb_W1,0.0060883,1314.0
Ross's Goose,2,2,Feb_W2,0.0022247,1798.0
Ross's Goose,2,3,Feb_W3,0.0010787,2781.0
Ross's Goose,2,4,Feb_W4,0.0046667,1500.0
Ross's Goose,3,1,Mar_W1,0.0006494,1540.0
Ross's Goose,3,2,Mar_W2,0.0031915,1880.0
Ross's Goose,3,3,Mar_W3,0.0037037,1890.0
Ross's Goose,3,4,Mar_W4,0.0079797,2757.0
Ross's Goose,4,1,Apr_W1,0.0015015,1998.0
Ross's Goose,4,2,Apr_W2,0.0004798,2084.0
Ross's Goose,4,3,Apr_W3,0.0,2057.0
Ross's Goose,4,4,Apr_W4,0.0,2935.0
Ross's Goose,5,1,May_W1,0.0015,2706.0
Ross's Goose,5,2,May_W2,0.0,2743.0
Ross's Goose,5,3,May_W3,0.0,2021.0
Ross's Goose,5,4,May_W4,0.0,1937.0
Ross's Goose,6,1,Jun_W1,0.0,1037.0
Ross's Goose,6,2,Jun_W2,0.0,973.0
Ross's Goose,6,3,Jun_W3,0.0,1003.0
Ross's Goose,6,4,Jun_W4,0.0,1151.0
Ross's Goose,7,1,Jul_W1,0.0,887.0
Ross's Goose,7,2,Jul_W2,0.0,744.0
Ross's Goose,7,3,Jul_W3,0.0,693.0
Ross's Goose,7,4,Jul_W4,0.0,1147.0
Ross's Goose,8,1,Aug_W1,0.0,903.0
Ross's Goose,8,2,Aug_W2,0.0,786.0
Ross's Goose,8,3,Aug_W3,0.0,740.0
Ross's Goose,8,4,Aug_W4,0.0,1296.0
Ross's Goose,9,1,Sep_W1,0.0,1267.0
Ross's Goose,9,2,Sep_W2,0.0,1396.0
Ross's Goose,9,3,Sep_W3,0.0007994,1251.0
Ross's Goose,9,4,Sep_W4,0.0006605,1514.0
Ross's Goose,10,1,Oct_W1,0.0,1247.0
Ross's Goose,10,2,Oct_W2,0.0024732,1213.0
Ross's Goose,10,3,Oct_W3,0.0,1101.0
Ross's Goose,10,4,Oct_W4,0.0007391,1353.0
Ross's Goose,11,1,Nov_W1,0.0009597,1042.0
Ross's Goose,11,2,Nov_W2,0.0030334,989.0
Ross's Goose,11,3,Nov_W3,0.0072765,962.0
Ross's Goose,11,4,Nov_W4,0.0076014,1184.0
Ross's Goose,12,1,Dec_W1,0.0032644,919.0
Ross's Goose,12,2,Dec_W2,0.0022497,889.0
Ross's Goose,12,3,Dec_W3,0.0,943.0
Ross's Goose,12,4,Dec_W4,0.0,1319.0
Graylag Goose,1,1,Jan_W1,0.0,1803.0
Graylag Goose,1,2,Jan_W2,0.0,1433.0
Graylag Goose,1,3,Jan_W3,0.0,1355.0
Graylag Goose,1,4,Jan_W4,0.0,1815.0
Graylag Goose,2,1,Feb_W1,0.0,1314.0
Graylag Goose,2,2,Feb_W2,0.0015,1798.0
Graylag Goose,2,3,Feb_W3,0.0,2781.0
Graylag Goose,2,4,Feb_W4,0.0,1500.0
Graylag Goose,3,1,Mar_W1,0.0,1540.0
Graylag Goose,3,2,Mar_W2,0.0,1880.0
Graylag Goose,3,3,Mar_W3,0.0,1890.0
Graylag Goose,3,4,Mar_W4,0.0003627,2757.0
Graylag Goose,4,1,Apr_W1,0.0,1998.0
Graylag Goose,4,2,Apr_W2,0.0,2084.0
Graylag Goose,4,3,Apr_W3,0.0,2057.0
Graylag Goose,4,4,Apr_W4,0.0,2935.0
Graylag Goose,5,1,May_W1,0.0,2706.0
Graylag Goose,5,2,May_W2,0.0,2743.0
Graylag Goose,5,3,May_W3,0.0,2021.0
Graylag Goose,5,4,May_W4,0.0,1937.0
Graylag Goose,6,1,Jun_W1,0.0,1037.0
Graylag Goose,6,2,Jun_W2,0.0010277,973.0
Graylag Goose,6,3,Jun_W3,0.0,1003.0
Graylag Goose,6,4,Jun_W4,0.0,1151.0
Graylag Goose,7,1,Jul_W1,0.0,887.0
Graylag Goose,7,2,Jul_W2,0.0,744.0
Graylag Goose,7,3,Jul_W3,0.0,693.0
Graylag Goose,7,4,Jul_W4,0.0,1147.0
Graylag Goose,8,1,Aug_W1,0.0,903.0
Graylag Goose,8,2,Aug_W2,0.0,786.0
Graylag Goose,8,3,Aug_W3,0.0,740.0
Graylag Goose,8,4,Aug_W4,0.0,1296.0
Graylag Goose,9,1,Sep_W1,0.0,1267.0
Graylag Goose,9,2,Sep_W2,0.0,1396.0
Graylag Goose,9,3,Sep_W3,0.0007994,1251.0
Graylag Goose,9,4,Sep_W4,0.0006605,1514.0
Graylag Goose,10,1,Oct_W1,0.0,1247.0
Graylag Goose,10,2,Oct_W2,0.0016488,1213.0
Graylag Goose,10,3,Oct_W3,0.0009083,1101.0
Graylag Goose,10,4,Oct_W4,0.0,1353.0
Graylag Goose,11,1,Nov_W1,0.0,1042.0
Graylag Goose,11,2,Nov_W2,0.0,989.0
Graylag Goose,11,3,Nov_W3,0.0,962.0
Graylag Goose,11,4,Nov_W4,0.0,1184.0
Graylag Goose,12,1,Dec_W1,0.0,919.0
Graylag Goose,12,2,Dec_W2,0.0011249,889.0
Graylag Goose,12,3,Dec_W3,0.0,943.0
Graylag Goose,12,4,Dec_W4,0.0,1319.0
Greater White-fronted Goose,1,1,Jan_W1,0.0015,1803.0
Greater White-fronted Goose,1,2,Jan_W2,0.0,1433.0
Greater White-fronted Goose,1,3,Jan_W3,0.0,1355.0
Greater White-fronted Goose,1,4,Jan_W4,0.0060606,1815.0
Greater White-fronted Goose,2,1,Feb_W1,0.000761,1314.0
Greater White-fronted Goose,2,2,Feb_W2,0.0,1798.0
Greater White-fronted Goose,2,3,Feb_W3,0.0003596,2781.0
Greater White-fronted Goose,2,4,Feb_W4,0.0013333,1500.0
Greater White-fronted Goose,3,1,Mar_W1,0.011039,1540.0
Greater White-fronted Goose,3,2,Mar_W2,0.0164894,1880.0
Greater White-fronted Goose,3,3,Mar_W3,0.0015,1890.0
Greater White-fronted Goose,3,4,Mar_W4,0.0007254,2757.0
Greater White-fronted Goose,4,1,Apr_W1,0.0015,1998.0
Greater White-fronted Goose,4,2,Apr_W2,0.0,2084.0
Greater White-fronted Goose,4,3,Apr_W3,0.0,2057.0
Greater White-fronted Goose,4,4,Apr_W4,0.0,2935.0
Greater White-fronted Goose,5,1,May_W1,0.0,2706.0
Greater White-fronted Goose,5,2,May_W2,0.0,2743.0
Greater White-fronted Goose,5,3,May_W3,0.0,2021.0
Greater White-fronted Goose,5,4,May_W4,0.0,1937.0
Greater White-fronted Goose,6,1,Jun_W1,0.0,1037.0
Greater White-fronted Goose,6,2,Jun_W2,0.0,973.0
Greater White-fronted Goose,6,3,Jun_W3,0.0,1003.0
Greater White-fronted Goose,6,4,Jun_W4,0.0,1151.0
Greater White-fronted Goose,7,1,Jul_W1,0.0,887.0
Greater White-fronted Goose,7,2,Jul_W2,0.0,744.0
Greater White-fronted Goose,7,3,Jul_W3,0.0,693.0
Greater White-fronted Goose,7,4,Jul_W4,0.0,1147.0
Greater White-fronted Goose,8,1,Aug_W1,0.0,903.0
Greater White-fronted Goose,8,2,Aug_W2,0.0,786.0
Greater White-fronted Goose,8,3,Aug_W3,0.0,740.0
Greater White-fronted Goose,8,4,Aug_W4,0.0,1296.0
Greater White-fronted Goose,9,1,Sep_W1,0.0,1267.0
Greater White-fronted Goose,9,2,Sep_W2,0.0,1396.0
Greater White-fronted Goose,9,3,Sep_W3,0.0007994,1251.0
Greater White-fronted Goose,9,4,Sep_W4,0.001321,1514.0
Greater White-fronted Goose,10,1,Oct_W1,0.0,1247.0
Greater White-fronted Goose,10,2,Oct_W2,0.0,1213.0
Greater White-fronted Goose,10,3,Oct_W3,0.0063579,1101.0
Greater White-fronted Goose,10,4,Oct_W4,0.0029564,1353.0
Greater White-fronted Goose,11,1,Nov_W1,0.0,1042.0
Greater White-fronted Goose,11,2,Nov_W2,0.0015,989.0
Greater White-fronted Goose,11,3,Nov_W3,0.0015,962.0
Greater White-fronted Goose,11,4,Nov_W4,0.0025338,1184.0
Greater White-fronted Goose,12,1,Dec_W1,0.0010881,919.0
Greater White-fronted Goose,12,2,Dec_W2,0.0015,889.0
Greater White-fronted Goose,12,3,Dec_W3,0.0,943.0
Greater White-fronted Goose,12,4,Dec_W4,0.0,1319.0
Brant,1,1,Jan_W1,0.0260677,1803.0
Brant,1,2,Jan_W2,0.0006978,1433.0
Brant,1,3,Jan_W3,0.0,1355.0
Brant,1,4,Jan_W4,0.0,1815.0
Brant,2,1,Feb_W1,0.0,1314.0
Brant,2,2,Feb_W2,0.0,1798.0
Brant,2,3,Feb_W3,0.0,2781.0
Brant,2,4,Feb_W4,0.0,1500.0
Brant,3,1,Mar_W1,0.0,1540.0
Brant,3,2,Mar_W2,0.0,1880.0
Brant,3,3,Mar_W3,0.0,1890.0
Brant,3,4,Mar_W4,0.0,2757.0
Brant,4,1,Apr_W1,0.0,1998.0
Brant,4,2,Apr_W2,0.0,2084.0
Brant,4,3,Apr_W3,0.0,2057.0
Brant,4,4,Apr_W4,0.0,2935.0
Brant,5,1,May_W1,0.0,2706.0
Brant,5,2,May_W2,0.0,2743.0
Brant,5,3,May_W3,0.0,2021.0
Brant,5,4,May_W4,0.0,1937.0
Brant,6,1,Jun_W1,0.0,1037.0
Brant,6,2,Jun_W2,0.0,973.0
Brant,6,3,Jun_W3,0.0,1003.0
Brant,6,4,Jun_W4,0.0,1151.0
Brant,7,1,Jul_W1,0.0,887.0
Brant,7,2,Jul_W2,0.0,744.0
Brant,7,3,Jul_W3,0.0,693.0
Brant,7,4,Jul_W4,0.0,1147.0
Brant,8,1,Aug_W1,0.0,903.0
Brant,8,2,Aug_W2,0.0,786.0
Brant,8,3,Aug_W3,0.0,740.0
Brant,8,4,Aug_W4,0.0,1296.0
Brant,9,1,Sep_W1,0.0,1267.0
Brant,9,2,Sep_W2,0.0,1396.0
Brant,9,3,Sep_W3,0.0,1251.0
Brant,9,4,Sep_W4,0.0,1514.0
Brant,10,1,Oct_W1,0.0,1247.0
Brant,10,2,Oct_W2,0.0,1213.0
Brant,10,3,Oct_W3,0.0,1101.0
Brant,10,4,Oct_W4,0.0,1353.0
Brant,11,1,Nov_W1,0.0,1042.0
Brant,11,2,Nov_W2,0.0,989.0
Brant,11,3,Nov_W3,0.0,962.0
Brant,11,4,Nov_W4,0.0,1184.0
Brant,12,1,Dec_W1,0.0,919.0
Brant,12,2,Dec_W2,0.0,889.0
Brant,12,3,Dec_W3,0.0,943.0
Brant,12,4,Dec_W4,0.0,1319.0
Cackling Goose,1,1,Jan_W1,0.0094287,1803.0
Cackling Goose,1,2,Jan_W2,0.0055827,1433.0
Cackling Goose,1,3,Jan_W3,0.002214,1355.0
Cackling Goose,1,4,Jan_W4,0.0060606,1815.0
Cackling Goose,2,1,Feb_W1,0.0068493,1314.0
Cackling Goose,2,2,Feb_W2,0.0027809,1798.0
Cackling Goose,2,3,Feb_W3,0.0007192,2781.0
Cackling Goose,2,4,Feb_W4,0.0013333,1500.0
Cackling Goose,3,1,Mar_W1,0.0012987,1540.0
Cackling Goose,3,2,Mar_W2,0.0031915,1880.0
Cackling Goose,3,3,Mar_W3,0.0,1890.0
Cackling Goose,3,4,Mar_W4,0.0097933,2757.0
Cackling Goose,4,1,Apr_W1,0.0005005,1998.0
Cackling Goose,4,2,Apr_W2,0.0,2084.0
Cackling Goose,4,3,Apr_W3,0.0,2057.0
Cackling Goose,4,4,Apr_W4,0.0,2935.0
Cackling Goose,5,1,May_W1,0.0,2706.0
Cackling Goose,5,2,May_W2,0.0,2743.0
Cackling Goose,5,3,May_W3,0.0,2021.0
Cackling Goose,5,4,May_W4,0.0,1937.0
Cackling Goose,6,1,Jun_W1,0.0,1037.0
Cackling Goose,6,2,Jun_W2,0.0,973.0
Cackling Goose,6,3,Jun_W3,0.0,1003.0
Cackling Goose,6,4,Jun_W4,0.0,1151.0
Cackling Goose,7,1,Jul_W1,0.0,887.0
Cackling Goose,7,2,Jul_W2,0.0,744.0
Cackling Goose,7,3,Jul_W3,0.0,693.0
Cackling Goose,7,4,Jul_W4,0.0,1147.0
Cackling Goose,8,1,Aug_W1,0.0,903.0
Cackling Goose,8,2,Aug_W2,0.0,786.0
Cackling Goose,8,3,Aug_W3,0.0,740.0
Cackling Goose,8,4,Aug_W4,0.0,1296.0
Cackling Goose,9,1,Sep_W1,0.0,1267.0
Cackling Goose,9,2,Sep_W2,0.0015,1396.0
Cackling Goose,9,3,Sep_W3,0.0,1251.0
Cackling Goose,9,4,Sep_W4,0.001321,1514.0
Cackling Goose,10,1,Oct_W1,0.0016038,1247.0
Cackling Goose,10,2,Oct_W2,0.0049464,1213.0
Cackling Goose,10,3,Oct_W3,0.0036331,1101.0
Cackling Goose,10,4,Oct_W4,0.0044346,1353.0
Cackling Goose,11,1,Nov_W1,0.0047985,1042.0
Cackling Goose,11,2,Nov_W2,0.0070779,989.0
Cackling Goose,11,3,Nov_W3,0.014553,962.0
Cackling Goose,11,4,Nov_W4,0.0109797,1184.0
Cackling Goose,12,1,Dec_W1,0.0119695,919.0
Cackling Goose,12,2,Dec_W2,0.0089989,889.0
Cackling Goose,12,3,Dec_W3,0.0074231,943.0
Cackling Goose,12,4,Dec_W4,0.0015163,1319.0
Canada Goose,1,1,Jan_W1,0.3155851,1803.0
Canada Goose,1,2,Jan_W2,0.2330775,1433.0
