Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0,2077.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0,1071.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0,962.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0,1347.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0,780.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0,1028.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0,1382.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0,1175.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0,1300.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0,1433.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0,1386.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0,2077.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0,1469.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0,1402.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0,1256.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0,1649.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0,1632.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0,1879.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0,1323.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0,1461.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0,822.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,734.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,722.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,827.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0,632.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0,720.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0,618.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0,803.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0,533.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,482.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0,512.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0,729.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0,596.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0,627.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0,642.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0,741.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.0,634.0
Black-bellied Whistling-Duck,10,2,Oct_W2,0.0,729.0
Black-bellied Whistling-Duck,10,3,Oct_W3,0.0,691.0
Black-bellied Whistling-Duck,10,4,Oct_W4,0.0276982,1047.0
Black-bellied Whistling-Duck,11,1,Nov_W1,0.0047004,851.0
Black-bellied Whistling-Duck,11,2,Nov_W2,0.0,916.0
Black-bellied Whistling-Duck,11,3,Nov_W3,0.0,714.0
Black-bellied Whistling-Duck,11,4,Nov_W4,0.0,1165.0
Black-bellied Whistling-Duck,12,1,Dec_W1,0.0,810.0
Black-bellied Whistling-Duck,12,2,Dec_W2,0.0,791.0
Black-bellied Whistling-Duck,12,3,Dec_W3,0.0,934.0
Black-bellied Whistling-Duck,12,4,Dec_W4,0.0,1146.0
Snow Goose,1,1,Jan_W1,0.0139624,2077.0
Snow Goose,1,2,Jan_W2,0.0,1071.0
Snow Goose,1,3,Jan_W3,0.0,962.0
Snow Goose,1,4,Jan_W4,0.0,1347.0
Snow Goose,2,1,Feb_W1,0.0,780.0
Snow Goose,2,2,Feb_W2,0.0009728,1028.0
Snow Goose,2,3,Feb_W3,0.0065123,1382.0
Snow Goose,2,4,Feb_W4,0.0093617,1175.0
Snow Goose,3,1,Mar_W1,0.0015385,1300.0
Snow Goose,3,2,Mar_W2,0.004187,1433.0
Snow Goose,3,3,Mar_W3,0.002886,1386.0
Snow Goose,3,4,Mar_W4,0.0009629,2077.0
Snow Goose,4,1,Apr_W1,0.0020422,1469.0
Snow Goose,4,2,Apr_W2,0.0035663,1402.0
Snow Goose,4,3,Apr_W3,0.0,1256.0
Snow Goose,4,4,Apr_W4,0.0,1649.0
Snow Goose,5,1,May_W1,0.0006127,1632.0
Snow Goose,5,2,May_W2,0.0,1879.0
Snow Goose,5,3,May_W3,0.0,1323.0
Snow Goose,5,4,May_W4,0.0,1461.0
