Species,Month,Week,Week_Label,Frequency,Sample_Size
Snow Goose,1,1,Jan_W1,0.0131579,1900.0
Snow Goose,1,2,Jan_W2,0.0112179,1248.0
Snow Goose,1,3,Jan_W3,0.0,1114.0
Snow Goose,1,4,Jan_W4,0.0,1409.0
Snow Goose,2,1,Feb_W1,0.0,1006.0
Snow Goose,2,2,Feb_W2,0.0,1534.0
Snow Goose,2,3,Feb_W3,0.0040453,2472.0
Snow Goose,2,4,Feb_W4,0.0062112,1288.0
Snow Goose,3,1,Mar_W1,0.0132867,1430.0
Snow Goose,3,2,Mar_W2,0.0053121,1506.0
Snow Goose,3,3,Mar_W3,0.0,1574.0
Snow Goose,3,4,Mar_W4,0.0,2621.0
Snow Goose,4,1,Apr_W1,0.0028396,2113.0
Snow Goose,4,2,Apr_W2,0.0022036,2269.0
Snow Goose,4,3,Apr_W3,0.0019352,2067.0
Snow Goose,4,4,Apr_W4,0.0014265,2804.0
Snow Goose,5,1,May_W1,0.0015192,2633.0
Snow Goose,5,2,May_W2,0.0003482,2872.0
Snow Goose,5,3,May_W3,0.0,2081.0
Snow Goose,5,4,May_W4,0.0,2296.0
Snow Goose,6,1,Jun_W1,0.0009166,1091.0
Snow Goose,6,2,Jun_W2,0.0,1059.0
Snow Goose,6,3,Jun_W3,0.0,980.0
Snow Goose,6,4,Jun_W4,0.0,1079.0
Snow Goose,7,1,Jul_W1,0.0,918.0
Snow Goose,7,2,Jul_W2,0.0,799.0
Snow Goose,7,3,Jul_W3,0.0,751.0
Snow Goose,7,4,Jul_W4,0.0,1066.0
Snow Goose,8,1,Aug_W1,0.0,741.0
Snow Goose,8,2,Aug_W2,0.0,696.0
Snow Goose,8,3,Aug_W3,0.0,799.0
Snow Goose,8,4,Aug_W4,0.0,1240.0
Snow Goose,9,1,Sep_W1,0.0,1017.0
Snow Goose,9,2,Sep_W2,0.0,1059.0
Snow Goose,9,3,Sep_W3,0.0018622,1074.0
Snow Goose,9,4,Sep_W4,0.0,1206.0
Snow Goose,10,1,Oct_W1,0.0130522,996.0
Snow Goose,10,2,Oct_W2,0.0126689,1184.0
Snow Goose,10,3,Oct_W3,0.013986,1144.0
Snow Goose,10,4,Oct_W4,0.0053272,1314.0
Snow Goose,11,1,Nov_W1,0.0040816,980.0
Snow Goose,11,2,Nov_W2,0.0249187,923.0
Snow Goose,11,3,Nov_W3,0.0163934,915.0
Snow Goose,11,4,Nov_W4,0.0096238,1143.0
Snow Goose,12,1,Dec_W1,0.0024301,823.0
Snow Goose,12,2,Dec_W2,0.0124294,885.0
Snow Goose,12,3,Dec_W3,0.0181818,880.0
Snow Goose,12,4,Dec_W4,0.0104046,1730.0
Ross's Goose,1,1,Jan_W1,0.01,1900.0
Ross's Goose,1,2,Jan_W2,0.0,1248.0
Ross's Goose,1,3,Jan_W3,0.0,1114.0
Ross's Goose,1,4,Jan_W4,0.0,1409.0
Ross's Goose,2,1,Feb_W1,0.0,1006.0
Ross's Goose,2,2,Feb_W2,0.0039113,1534.0
Ross's Goose,2,3,Feb_W3,0.0008091,2472.0
Ross's Goose,2,4,Feb_W4,0.0023292,1288.0
Ross's Goose,3,1,Mar_W1,0.0076923,1430.0
Ross's Goose,3,2,Mar_W2,0.0,1506.0
Ross's Goose,3,3,Mar_W3,0.0006353,1574.0
Ross's Goose,3,4,Mar_W4,0.0049599,2621.0
Ross's Goose,4,1,Apr_W1,0.0037861,2113.0
Ross's Goose,4,2,Apr_W2,0.0022036,2269.0
Ross's Goose,4,3,Apr_W3,0.0004838,2067.0
Ross's Goose,4,4,Apr_W4,0.0,2804.0
Ross's Goose,5,1,May_W1,0.0,2633.0
Ross's Goose,5,2,May_W2,0.0,2872.0
Ross's Goose,5,3,May_W3,0.0,2081.0
Ross's Goose,5,4,May_W4,0.0,2296.0
Ross's Goose,6,1,Jun_W1,0.0,1091.0
Ross's Goose,6,2,Jun_W2,0.0,1059.0
Ross's Goose,6,3,Jun_W3,0.0,980.0
Ross's Goose,6,4,Jun_W4,0.0,1079.0
Ross's Goose,7,1,Jul_W1,0.0,918.0
Ross's Goose,7,2,Jul_W2,0.0,799.0
Ross's Goose,7,3,Jul_W3,0.0,751.0
Ross's Goose,7,4,Jul_W4,0.0,1066.0
Ross's Goose,8,1,Aug_W1,0.0,741.0
Ross's Goose,8,2,Aug_W2,0.0,696.0
Ross's Goose,8,3,Aug_W3,0.0,799.0
Ross's Goose,8,4,Aug_W4,0.0,1240.0
Ross's Goose,9,1,Sep_W1,0.0,1017.0
Ross's Goose,9,2,Sep_W2,0.0,1059.0
Ross's Goose,9,3,Sep_W3,0.0,1074.0
Ross's Goose,9,4,Sep_W4,0.0,1206.0
Ross's Goose,10,1,Oct_W1,0.0,996.0
Ross's Goose,10,2,Oct_W2,0.0092905,1184.0
Ross's Goose,10,3,Oct_W3,0.0008741,1144.0
Ross's Goose,10,4,Oct_W4,0.0114155,1314.0
Ross's Goose,11,1,Nov_W1,0.0,980.0
Ross's Goose,11,2,Nov_W2,0.0032503,923.0
Ross's Goose,11,3,Nov_W3,0.0032787,915.0
Ross's Goose,11,4,Nov_W4,0.0061242,1143.0
Ross's Goose,12,1,Dec_W1,0.0,823.0
Ross's Goose,12,2,Dec_W2,0.0033898,885.0
Ross's Goose,12,3,Dec_W3,0.0011364,880.0
Ross's Goose,12,4,Dec_W4,0.0,1730.0
Graylag Goose,1,1,Jan_W1,0.0,1900.0
Graylag Goose,1,2,Jan_W2,0.0,1248.0
Graylag Goose,1,3,Jan_W3,0.0,1114.0
Graylag Goose,1,4,Jan_W4,0.0007097,1409.0
Graylag Goose,2,1,Feb_W1,0.0,1006.0
Graylag Goose,2,2,Feb_W2,0.0,1534.0
Graylag Goose,2,3,Feb_W3,0.0,2472.0
Graylag Goose,2,4,Feb_W4,0.0,1288.0
Graylag Goose,3,1,Mar_W1,0.0,1430.0
Graylag Goose,3,2,Mar_W2,0.0,1506.0
Graylag Goose,3,3,Mar_W3,0.0,1574.0
Graylag Goose,3,4,Mar_W4,0.0,2621.0
Graylag Goose,4,1,Apr_W1,0.0,2113.0
Graylag Goose,4,2,Apr_W2,0.0,2269.0
Graylag Goose,4,3,Apr_W3,0.0,2067.0
Graylag Goose,4,4,Apr_W4,0.0,2804.0
Graylag Goose,5,1,May_W1,0.0,2633.0
Graylag Goose,5,2,May_W2,0.0,2872.0
Graylag Goose,5,3,May_W3,0.0,2081.0
Graylag Goose,5,4,May_W4,0.0,2296.0
Graylag Goose,6,1,Jun_W1,0.0,1091.0
Graylag Goose,6,2,Jun_W2,0.0,1059.0
Graylag Goose,6,3,Jun_W3,0.0,980.0
Graylag Goose,6,4,Jun_W4,0.0,1079.0
Graylag Goose,7,1,Jul_W1,0.0,918.0
Graylag Goose,7,2,Jul_W2,0.0,799.0
Graylag Goose,7,3,Jul_W3,0.0,751.0
Graylag Goose,7,4,Jul_W4,0.0,1066.0
Graylag Goose,8,1,Aug_W1,0.0,741.0
Graylag Goose,8,2,Aug_W2,0.0,696.0
Graylag Goose,8,3,Aug_W3,0.0,799.0
Graylag Goose,8,4,Aug_W4,0.0,1240.0
Graylag Goose,9,1,Sep_W1,0.0,1017.0
Graylag Goose,9,2,Sep_W2,0.0,1059.0
Graylag Goose,9,3,Sep_W3,0.0,1074.0
Graylag Goose,9,4,Sep_W4,0.0,1206.0
Graylag Goose,10,1,Oct_W1,0.0,996.0
Graylag Goose,10,2,Oct_W2,0.0,1184.0
Graylag Goose,10,3,Oct_W3,0.0,1144.0
Graylag Goose,10,4,Oct_W4,0.0,1314.0
Graylag Goose,11,1,Nov_W1,0.0,980.0
Graylag Goose,11,2,Nov_W2,0.0,923.0
Graylag Goose,11,3,Nov_W3,0.0,915.0
Graylag Goose,11,4,Nov_W4,0.0,1143.0
Graylag Goose,12,1,Dec_W1,0.0,823.0
Graylag Goose,12,2,Dec_W2,0.0,885.0
Graylag Goose,12,3,Dec_W3,0.0,880.0
Graylag Goose,12,4,Dec_W4,0.0,1730.0
Greater White-fronted Goose,1,1,Jan_W1,0.0021053,1900.0
Greater White-fronted Goose,1,2,Jan_W2,0.0,1248.0
Greater White-fronted Goose,1,3,Jan_W3,0.0,1114.0
Greater White-fronted Goose,1,4,Jan_W4,0.0014194,1409.0
Greater White-fronted Goose,2,1,Feb_W1,0.0,1006.0
Greater White-fronted Goose,2,2,Feb_W2,0.0006519,1534.0
Greater White-fronted Goose,2,3,Feb_W3,0.0028317,2472.0
Greater White-fronted Goose,2,4,Feb_W4,0.0108696,1288.0
Greater White-fronted Goose,3,1,Mar_W1,0.034965,1430.0
Greater White-fronted Goose,3,2,Mar_W2,0.0139442,1506.0
Greater White-fronted Goose,3,3,Mar_W3,0.0031766,1574.0
Greater White-fronted Goose,3,4,Mar_W4,0.0,2621.0
Greater White-fronted Goose,4,1,Apr_W1,0.0004733,2113.0
Greater White-fronted Goose,4,2,Apr_W2,0.0,2269.0
Greater White-fronted Goose,4,3,Apr_W3,0.0,2067.0
Greater White-fronted Goose,4,4,Apr_W4,0.0,2804.0
Greater White-fronted Goose,5,1,May_W1,0.0,2633.0
Greater White-fronted Goose,5,2,May_W2,0.0,2872.0
Greater White-fronted Goose,5,3,May_W3,0.0,2081.0
Greater White-fronted Goose,5,4,May_W4,0.0,2296.0
Greater White-fronted Goose,6,1,Jun_W1,0.0,1091.0
