Species,Month,Week,Week_Label,Frequency,Sample_Size
Snow Goose,1,1,Jan_W1,0.0002601,3844.0
Snow Goose,1,2,Jan_W2,0.00358,2514.0
Snow Goose,1,3,Jan_W3,0.0003951,2531.0
Snow Goose,1,4,Jan_W4,0.0,3304.0
Snow Goose,2,1,Feb_W1,0.0,2629.0
Snow Goose,2,2,Feb_W2,0.0,3254.0
Snow Goose,2,3,Feb_W3,0.0012433,4826.0
Snow Goose,2,4,Feb_W4,0.0,2733.0
Snow Goose,3,1,Mar_W1,0.0006277,3186.0
Snow Goose,3,2,Mar_W2,0.002265,3532.0
Snow Goose,3,3,Mar_W3,0.0006566,3046.0
Snow Goose,3,4,Mar_W4,0.0068252,4542.0
Snow Goose,4,1,Apr_W1,0.0046397,3664.0
Snow Goose,4,2,Apr_W2,0.0015,3931.0
Snow Goose,4,3,Apr_W3,0.0,4004.0
Snow Goose,4,4,Apr_W4,0.0,5888.0
Snow Goose,5,1,May_W1,0.0,5936.0
Snow Goose,5,2,May_W2,0.0,6059.0
Snow Goose,5,3,May_W3,0.0,4018.0
Snow Goose,5,4,May_W4,0.0,4479.0
Snow Goose,6,1,Jun_W1,0.0,2793.0
Snow Goose,6,2,Jun_W2,0.0,2257.0
Snow Goose,6,3,Jun_W3,0.0,2081.0
Snow Goose,6,4,Jun_W4,0.0,2196.0
Snow Goose,7,1,Jul_W1,0.0,1770.0
Snow Goose,7,2,Jul_W2,0.0,1728.0
Snow Goose,7,3,Jul_W3,0.0,1611.0
Snow Goose,7,4,Jul_W4,0.0,2252.0
Snow Goose,8,1,Aug_W1,0.0,1765.0
Snow Goose,8,2,Aug_W2,0.0,1594.0
Snow Goose,8,3,Aug_W3,0.0,1757.0
Snow Goose,8,4,Aug_W4,0.0,2602.0
Snow Goose,9,1,Sep_W1,0.0,2179.0
Snow Goose,9,2,Sep_W2,0.0,2119.0
Snow Goose,9,3,Sep_W3,0.0,2218.0
Snow Goose,9,4,Sep_W4,0.000711,2813.0
Snow Goose,10,1,Oct_W1,0.0004613,2168.0
Snow Goose,10,2,Oct_W2,0.0009412,2125.0
Snow Goose,10,3,Oct_W3,0.0042781,1870.0
Snow Goose,10,4,Oct_W4,0.0038536,2595.0
Snow Goose,11,1,Nov_W1,0.0022026,1816.0
Snow Goose,11,2,Nov_W2,0.0029257,1709.0
Snow Goose,11,3,Nov_W3,0.0018975,1581.0
Snow Goose,11,4,Nov_W4,0.00338,2071.0
Snow Goose,12,1,Dec_W1,0.000591,1692.0
Snow Goose,12,2,Dec_W2,0.0,1604.0
Snow Goose,12,3,Dec_W3,0.0051852,1350.0
Snow Goose,12,4,Dec_W4,0.0010091,2973.0
Ross's Goose,1,1,Jan_W1,0.0,3844.0
Ross's Goose,1,2,Jan_W2,0.0,2514.0
Ross's Goose,1,3,Jan_W3,0.0,2531.0
Ross's Goose,1,4,Jan_W4,0.0,3304.0
Ross's Goose,2,1,Feb_W1,0.0,2629.0
Ross's Goose,2,2,Feb_W2,0.0,3254.0
Ross's Goose,2,3,Feb_W3,0.0,4826.0
Ross's Goose,2,4,Feb_W4,0.0,2733.0
Ross's Goose,3,1,Mar_W1,0.0,3186.0
Ross's Goose,3,2,Mar_W2,0.0008494,3532.0
Ross's Goose,3,3,Mar_W3,0.0003283,3046.0
Ross's Goose,3,4,Mar_W4,0.0057244,4542.0
Ross's Goose,4,1,Apr_W1,0.0098253,3664.0
Ross's Goose,4,2,Apr_W2,0.0012719,3931.0
Ross's Goose,4,3,Apr_W3,0.0,4004.0
Ross's Goose,4,4,Apr_W4,0.0,5888.0
Ross's Goose,5,1,May_W1,0.0,5936.0
Ross's Goose,5,2,May_W2,0.0,6059.0
Ross's Goose,5,3,May_W3,0.0,4018.0
Ross's Goose,5,4,May_W4,0.0,4479.0
Ross's Goose,6,1,Jun_W1,0.0,2793.0
Ross's Goose,6,2,Jun_W2,0.0,2257.0
Ross's Goose,6,3,Jun_W3,0.0,2081.0
Ross's Goose,6,4,Jun_W4,0.0,2196.0
Ross's Goose,7,1,Jul_W1,0.0,1770.0
Ross's Goose,7,2,Jul_W2,0.0,1728.0
Ross's Goose,7,3,Jul_W3,0.0,1611.0
Ross's Goose,7,4,Jul_W4,0.0,2252.0
Ross's Goose,8,1,Aug_W1,0.0,1765.0
Ross's Goose,8,2,Aug_W2,0.0,1594.0
Ross's Goose,8,3,Aug_W3,0.0,1757.0
Ross's Goose,8,4,Aug_W4,0.0,2602.0
Ross's Goose,9,1,Sep_W1,0.0,2179.0
Ross's Goose,9,2,Sep_W2,0.0,2119.0
Ross's Goose,9,3,Sep_W3,0.0,2218.0
Ross's Goose,9,4,Sep_W4,0.0,2813.0
Ross's Goose,10,1,Oct_W1,0.0,2168.0
Ross's Goose,10,2,Oct_W2,0.0,2125.0
Ross's Goose,10,3,Oct_W3,0.0,1870.0
Ross's Goose,10,4,Oct_W4,0.0,2595.0
Ross's Goose,11,1,Nov_W1,0.0,1816.0
Ross's Goose,11,2,Nov_W2,0.0,1709.0
Ross's Goose,11,3,Nov_W3,0.0,1581.0
Ross's Goose,11,4,Nov_W4,0.0,2071.0
Ross's Goose,12,1,Dec_W1,0.001773,1692.0
Ross's Goose,12,2,Dec_W2,0.0043641,1604.0
Ross's Goose,12,3,Dec_W3,0.0,1350.0
Ross's Goose,12,4,Dec_W4,0.0003364,2973.0
Graylag Goose,1,1,Jan_W1,0.0015609,3844.0
Graylag Goose,1,2,Jan_W2,0.0067621,2514.0
Graylag Goose,1,3,Jan_W3,0.0035559,2531.0
Graylag Goose,1,4,Jan_W4,0.003632,3304.0
Graylag Goose,2,1,Feb_W1,0.0011411,2629.0
Graylag Goose,2,2,Feb_W2,0.0012293,3254.0
Graylag Goose,2,3,Feb_W3,0.0018649,4826.0
Graylag Goose,2,4,Feb_W4,0.0040249,2733.0
Graylag Goose,3,1,Mar_W1,0.0021971,3186.0
Graylag Goose,3,2,Mar_W2,0.002265,3532.0
Graylag Goose,3,3,Mar_W3,0.0019698,3046.0
Graylag Goose,3,4,Mar_W4,0.0019815,4542.0
Graylag Goose,4,1,Apr_W1,0.0013646,3664.0
Graylag Goose,4,2,Apr_W2,0.0030527,3931.0
Graylag Goose,4,3,Apr_W3,0.0047453,4004.0
Graylag Goose,4,4,Apr_W4,0.0040761,5888.0
Graylag Goose,5,1,May_W1,0.0026954,5936.0
Graylag Goose,5,2,May_W2,0.0033009,6059.0
Graylag Goose,5,3,May_W3,0.0029866,4018.0
Graylag Goose,5,4,May_W4,0.0015628,4479.0
Graylag Goose,6,1,Jun_W1,0.0007161,2793.0
Graylag Goose,6,2,Jun_W2,0.0,2257.0
Graylag Goose,6,3,Jun_W3,0.0,2081.0
Graylag Goose,6,4,Jun_W4,0.0,2196.0
Graylag Goose,7,1,Jul_W1,0.000565,1770.0
Graylag Goose,7,2,Jul_W2,0.0023148,1728.0
Graylag Goose,7,3,Jul_W3,0.0031037,1611.0
Graylag Goose,7,4,Jul_W4,0.0017762,2252.0
Graylag Goose,8,1,Aug_W1,0.0073654,1765.0
Graylag Goose,8,2,Aug_W2,0.0056462,1594.0
Graylag Goose,8,3,Aug_W3,0.0045532,1757.0
Graylag Goose,8,4,Aug_W4,0.008455,2602.0
Graylag Goose,9,1,Sep_W1,0.0036714,2179.0
Graylag Goose,9,2,Sep_W2,0.0033034,2119.0
Graylag Goose,9,3,Sep_W3,0.0036069,2218.0
Graylag Goose,9,4,Sep_W4,0.0046214,2813.0
Graylag Goose,10,1,Oct_W1,0.0078413,2168.0
Graylag Goose,10,2,Oct_W2,0.0014118,2125.0
Graylag Goose,10,3,Oct_W3,0.0042781,1870.0
Graylag Goose,10,4,Oct_W4,0.0042389,2595.0
Graylag Goose,11,1,Nov_W1,0.0022026,1816.0
Graylag Goose,11,2,Nov_W2,0.0046811,1709.0
Graylag Goose,11,3,Nov_W3,0.0006325,1581.0
Graylag Goose,11,4,Nov_W4,0.0004829,2071.0
Graylag Goose,12,1,Dec_W1,0.001773,1692.0
Graylag Goose,12,2,Dec_W2,0.0,1604.0
Graylag Goose,12,3,Dec_W3,0.0,1350.0
Graylag Goose,12,4,Dec_W4,0.0006727,2973.0
Greater White-fronted Goose,1,1,Jan_W1,0.0,3844.0
Greater White-fronted Goose,1,2,Jan_W2,0.0,2514.0
Greater White-fronted Goose,1,3,Jan_W3,0.0,2531.0
Greater White-fronted Goose,1,4,Jan_W4,0.0,3304.0
Greater White-fronted Goose,2,1,Feb_W1,0.0,2629.0
Greater White-fronted Goose,2,2,Feb_W2,0.0,3254.0
Greater White-fronted Goose,2,3,Feb_W3,0.0,4826.0
Greater White-fronted Goose,2,4,Feb_W4,0.0,2733.0
Greater White-fronted Goose,3,1,Mar_W1,0.0069052,3186.0
Greater White-fronted Goose,3,2,Mar_W2,0.0033975,3532.0
Greater White-fronted Goose,3,3,Mar_W3,0.0,3046.0
Greater White-fronted Goose,3,4,Mar_W4,0.0037428,4542.0
Greater White-fronted Goose,4,1,Apr_W1,0.0057314,3664.0
Greater White-fronted Goose,4,2,Apr_W2,0.0,3931.0
Greater White-fronted Goose,4,3,Apr_W3,0.0,4004.0
Greater White-fronted Goose,4,4,Apr_W4,0.0,5888.0
Greater White-fronted Goose,5,1,May_W1,0.0,5936.0
Greater White-fronted Goose,5,2,May_W2,0.0,6059.0
Greater White-fronted Goose,5,3,May_W3,0.0,4018.0
Greater White-fronted Goose,5,4,May_W4,0.0015,4479.0
Greater White-fronted Goose,6,1,Jun_W1,0.0,2793.0
Greater White-fronted Goose,6,2,Jun_W2,0.0,2257.0
Greater White-fronted Goose,6,3,Jun_W3,0.0,2081.0
Greater White-fronted Goose,6,4,Jun_W4,0.0,2196.0
Greater White-fronted Goose,7,1,Jul_W1,0.0,1770.0
Greater White-fronted Goose,7,2,Jul_W2,0.0,1728.0
Greater White-fronted Goose,7,3,Jul_W3,0.0,1611.0
Greater White-fronted Goose,7,4,Jul_W4,0.0,2252.0
Greater White-fronted Goose,8,1,Aug_W1,0.0,1765.0
Greater White-fronted Goose,8,2,Aug_W2,0.0,1594.0
Greater White-fronted Goose,8,3,Aug_W3,0.0,1757.0
Greater White-fronted Goose,8,4,Aug_W4,0.0,2602.0
Greater White-fronted Goose,9,1,Sep_W1,0.0,2179.0
Greater White-fronted Goose,9,2,Sep_W2,0.0,2119.0
Greater White-fronted Goose,9,3,Sep_W3,0.0,2218.0
Greater White-fronted Goose,9,4,Sep_W4,0.001422,2813.0
Greater White-fronted Goose,10,1,Oct_W1,0.0,2168.0
Greater White-fronted Goose,10,2,Oct_W2,0.0,2125.0
Greater White-fronted Goose,10,3,Oct_W3,0.0,1870.0
Greater White-fronted Goose,10,4,Oct_W4,0.0023121,2595.0
Greater White-fronted Goose,11,1,Nov_W1,0.0005507,1816.0
Greater White-fronted Goose,11,2,Nov_W2,0.0,1709.0
Greater White-fronted Goose,11,3,Nov_W3,0.0015,1581.0
Greater White-fronted Goose,11,4,Nov_W4,0.0,2071.0
Greater White-fronted Goose,12,1,Dec_W1,0.001182,1692.0
Greater White-fronted Goose,12,2,Dec_W2,0.0,1604.0
Greater White-fronted Goose,12,3,Dec_W3,0.0,1350.0
Greater White-fronted Goose,12,4,Dec_W4,0.0006727,2973.0
Brant,1,1,Jan_W1,0.0,3844.0
Brant,1,2,Jan_W2,0.0,2514.0
Brant,1,3,Jan_W3,0.0,2531.0
Brant,1,4,Jan_W4,0.0,3304.0
Brant,2,1,Feb_W1,0.0,2629.0
Brant,2,2,Feb_W2,0.0,3254.0
Brant,2,3,Feb_W3,0.0,4826.0
Brant,2,4,Feb_W4,0.0,2733.0
Brant,3,1,Mar_W1,0.0,3186.0
Brant,3,2,Mar_W2,0.0,3532.0
Brant,3,3,Mar_W3,0.0,3046.0
Brant,3,4,Mar_W4,0.0,4542.0
Brant,4,1,Apr_W1,0.0,3664.0
