









Frequency of observations in the selected location(s).:
Number of taxa: 	424

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3083.0	1925.0	1808.0	2138.0	1576.0	1927.0	2547.0	1755.0	1925.0	2115.0	2090.0	2870.0	2411.0	2213.0	2295.0	3011.0	3464.0	3289.0	2454.0	2549.0	1465.0	1246.0	1085.0	1342.0	905.0	849.0	912.0	1428.0	1005.0	1086.0	1201.0	1963.0	1406.0	1315.0	1155.0	1626.0	1470.0	1466.0	1410.0	2035.0	1358.0	1187.0	1261.0	1316.0	998.0	1113.0	1310.0	1527.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0160847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	3.244E-4	0.0	0.0	0.0	6.345E-4	0.0036326	0.0023557	0.0011396	0.0077922	9.456E-4	0.0038278	6.969E-4	4.148E-4	4.519E-4	0.0	0.0	0.0	0.0	4.075E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0121212	0.0141451	0.0190476	0.0231924	0.0078014	0.0068796	0.0036819	0.0042123	7.93E-4	0.0022796	0.008016	8.985E-4	7.634E-4	0.0013098	
Ross's Goose	0.0	0.0	0.0	0.0	0.0095178	0.0	0.0	0.0	0.0	0.0056738	0.0	0.0090592	0.0	0.0	0.0013072	0.0013285	0.0	0.0030404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.092E-4	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057416	0.0	0.0	0.0	4.357E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	3.244E-4	5.195E-4	0.0	0.0	0.0	0.0	0.0	5.698E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	7.634E-4	0.0	
Graylag Goose	0.0	0.0	5.531E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Swan Goose	0.0	0.0	0.0	4.677E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.658E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0015	0.0	0.0	0.0	0.0133249	0.0051894	0.0	5.698E-4	0.0025974	0.0	0.0	3.484E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001002	0.0	0.0	6.549E-4	
