Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0,3083.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0,1925.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0,1808.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0,2138.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0,1576.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0,1927.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0,2547.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0,1755.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0,1925.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0,2115.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0,2090.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0,2870.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0,2411.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0,2213.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0,2295.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0,3011.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0,3464.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0,3289.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0,2454.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0160847,2549.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0,1465.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,1246.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,1085.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,1342.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0,905.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0,849.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0,912.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0,1428.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0,1005.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,1086.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0,1201.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0,1963.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0,1406.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0,1315.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0,1155.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0,1626.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.0,1470.0
Black-bellied Whistling-Duck,10,2,Oct_W2,0.0,1466.0
Black-bellied Whistling-Duck,10,3,Oct_W3,0.0,1410.0
Black-bellied Whistling-Duck,10,4,Oct_W4,0.0,2035.0
Black-bellied Whistling-Duck,11,1,Nov_W1,0.0,1358.0
Black-bellied Whistling-Duck,11,2,Nov_W2,0.0,1187.0
Black-bellied Whistling-Duck,11,3,Nov_W3,0.0,1261.0
Black-bellied Whistling-Duck,11,4,Nov_W4,0.0,1316.0
Black-bellied Whistling-Duck,12,1,Dec_W1,0.0,998.0
Black-bellied Whistling-Duck,12,2,Dec_W2,0.0,1113.0
