Species,Month,Week,Week_Label,Frequency,Sample_Size
Snow Goose,1,1,Jan_W1,0.0080357,1120.0
Snow Goose,1,2,Jan_W2,0.009915,706.0
Snow Goose,1,3,Jan_W3,0.0075075,666.0
Snow Goose,1,4,Jan_W4,0.0076004,921.0
Snow Goose,2,1,Feb_W1,0.0,635.0
Snow Goose,2,2,Feb_W2,0.0107817,742.0
Snow Goose,2,3,Feb_W3,0.0069264,1155.0
Snow Goose,2,4,Feb_W4,0.0129366,773.0
Snow Goose,3,1,Mar_W1,0.0436548,985.0
Snow Goose,3,2,Mar_W2,0.0219561,1002.0
Snow Goose,3,3,Mar_W3,0.0412979,1017.0
Snow Goose,3,4,Mar_W4,0.0096286,1454.0
Snow Goose,4,1,Apr_W1,0.0031847,1256.0
Snow Goose,4,2,Apr_W2,0.0089943,1223.0
Snow Goose,4,3,Apr_W3,0.0007087,1411.0
Snow Goose,4,4,Apr_W4,0.0,1683.0
Snow Goose,5,1,May_W1,0.0,1491.0
Snow Goose,5,2,May_W2,0.0075846,1714.0
Snow Goose,5,3,May_W3,0.0013098,1527.0
Snow Goose,5,4,May_W4,0.0,1577.0
Snow Goose,6,1,Jun_W1,0.0,735.0
Snow Goose,6,2,Jun_W2,0.0,704.0
Snow Goose,6,3,Jun_W3,0.0,636.0
Snow Goose,6,4,Jun_W4,0.0,713.0
Snow Goose,7,1,Jul_W1,0.0,733.0
Snow Goose,7,2,Jul_W2,0.0,607.0
Snow Goose,7,3,Jul_W3,0.0,574.0
Snow Goose,7,4,Jul_W4,0.0,787.0
Snow Goose,8,1,Aug_W1,0.0,688.0
Snow Goose,8,2,Aug_W2,0.0,782.0
Snow Goose,8,3,Aug_W3,0.0,706.0
Snow Goose,8,4,Aug_W4,0.0,1102.0
Snow Goose,9,1,Sep_W1,0.0015,846.0
Snow Goose,9,2,Sep_W2,0.0013514,740.0
Snow Goose,9,3,Sep_W3,0.0246914,648.0
Snow Goose,9,4,Sep_W4,0.0283688,846.0
Snow Goose,10,1,Oct_W1,0.0183727,762.0
Snow Goose,10,2,Oct_W2,0.0410557,682.0
Snow Goose,10,3,Oct_W3,0.0440252,636.0
Snow Goose,10,4,Oct_W4,0.0610778,835.0
Snow Goose,11,1,Nov_W1,0.1400304,657.0
Snow Goose,11,2,Nov_W2,0.1111111,576.0
Snow Goose,11,3,Nov_W3,0.062603,607.0
Snow Goose,11,4,Nov_W4,0.1152074,868.0
Snow Goose,12,1,Dec_W1,0.0725275,455.0
