Species,Jan_W1,Jan_W2,Jan_W3,Jan_W4,Feb_W1,Feb_W2,Feb_W3,Feb_W4,Mar_W1,Mar_W2,Mar_W3,Mar_W4,Apr_W1,Apr_W2,Apr_W3,Apr_W4,May_W1,May_W2,May_W3,May_W4,Jun_W1,Jun_W2,Jun_W3,Jun_W4,Jul_W1,Jul_W2,Jul_W3,Jul_W4,Aug_W1,Aug_W2,Aug_W3,Aug_W4,Sep_W1,Sep_W2,Sep_W3,Sep_W4,Oct_W1,Oct_W2,Oct_W3,Oct_W4,Nov_W1,Nov_W2,Nov_W3,Nov_W4,Dec_W1,Dec_W2,Dec_W3,Dec_W4
Snow Goose,0.0080357,0.009915,0.0075075,0.0076004,0.0,0.0107817,0.0069264,0.0129366,0.0436548,0.0219561,0.0412979,0.0096286,0.0031847,0.0089943,0.0007087,0.0,0.0,0.0075846,0.0013098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0013514,0.0246914,0.0283688,0.0183727,0.0410557,0.0440252,0.0610778,0.1400304,0.1111111,0.062603,0.1152074,0.0725275,0.0813492,0.03003,0.0165975
Ross's Goose,0.0,0.0,0.0,0.0032573,0.0062992,0.0013477,0.0077922,0.0012937,0.0111675,0.010978,0.0108161,0.0048143,0.0015924,0.004906,0.0021262,0.0,0.0,0.0017503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728,0.0,0.0,0.0,0.0,0.0023952,0.0182648,0.0208333,0.0032949,0.0092166,0.0043956,0.0059524,0.0,0.003112
Graylag Goose,0.0,0.0,0.0,0.0010858,0.0,0.0,0.0,0.0,0.0010152,0.0015,0.0,0.0013755,0.0,0.0,0.0,0.0,0.0006707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater White-fronted Goose,0.00625,0.0056657,0.006006,0.0043431,0.0031496,0.0,0.0034632,0.0219922,0.0497462,0.0409182,0.0324484,0.0144429,0.0039809,0.0008177,0.0007087,0.0015,0.0020121,0.0017503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027027,0.0030864,0.0035461,0.0013123,0.0087977,0.004717,0.0035928,0.0015221,0.0015,0.0065898,0.0046083,0.0015,0.0015,0.0045045,0.003112
Cackling Goose,0.0080357,0.0070822,0.006006,0.0,0.0,0.0,0.0017316,0.0015,0.0121827,0.011976,0.027532,0.0089409,0.0039809,0.0008177,0.0021262,0.0,0.0006707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432,0.0118203,0.003937,0.0087977,0.0141509,0.0203593,0.0684932,0.0295139,0.0362438,0.0414747,0.0175824,0.0277778,0.0075075,0.0165975
Canada Goose,0.3196429,0.2705382,0.2657658,0.2453855,0.2031496,0.1765499,0.2,0.3622251,0.4812183,0.5419162,0.5978368,0.5845942,0.5764331,0.5707277,0.5676825,0.5876411,0.4808853,0.4743291,0.4950884,0.4914394,0.4421769,0.34375,0.2987421,0.2805049,0.3328786,0.3476112,0.3850174,0.4193139,0.4229651,0.4948849,0.4575071,0.4264973,0.392435,0.3905405,0.3858025,0.501182,0.4396325,0.4076246,0.4166667,0.4107784,0.4474886,0.4461806,0.4019769,0.4804147,0.3736264,0.3452381,0.3273273,0.370332
Mute Swan,0.1241071,0.1543909,0.1561562,0.17481,0.1952756,0.2061995,0.1645022,0.2263907,0.2203046,0.2275449,0.193707,0.2290234,0.2444268,0.2338512,0.2197023,0.1841949,0.1924883,0.2147025,0.1709234,0.1604312,0.1578231,0.1803977,0.1761006,0.2215989,0.2005457,0.1581549,0.1759582,0.1740788,0.1671512,0.1956522,0.1713881,0.2132486,0.2198582,0.2108108,0.2006173,0.1950355,0.167979,0.1979472,0.1839623,0.1077844,0.1202435,0.109375,0.1153213,0.0956221,0.0923077,0.077381,0.1531532,0.1452282
Black Swan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
Trumpeter Swan,0.0160714,0.009915,0.006006,0.0141151,0.0047244,0.0148248,0.0077922,0.0168176,0.0162437,0.0299401,0.013766,0.0206327,0.0183121,0.0196239,0.0219702,0.0196078,0.0207914,0.0180863,0.0347086,0.0266328,0.0244898,0.0127841,0.0204403,0.0126227,0.0150068,0.0230643,0.0174216,0.0076239,0.0043605,0.0102302,0.0084986,0.0054446,0.0106383,0.0094595,0.0092593,0.0070922,0.0209974,0.016129,0.0204403,0.0143713,0.0030441,0.0086806,0.0164745,0.0138249,0.0021978,0.0059524,0.0,0.0062241
Tundra Swan,0.0160714,0.0254958,0.036036,0.0162866,0.0125984,0.0215633,0.012987,0.0219922,0.0426396,0.0578842,0.0776794,0.0357634,0.0151274,0.0065413,0.0021262,0.0005942,0.0006707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102639,0.0078616,0.0383234,0.0821918,0.109375,0.1367381,0.1221198,0.0483516,0.031746,0.0375375,0.0560166
