species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,two-passage-migrant,two-passage,,,,,March 1-7,March 1-7,March 15-21,September 15-21,November 1-7,December 22-31,,,,,
Ross's Goose,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,January 22-31,December 22-31
Graylag Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,January 22-31,March 22-31
Greater White-fronted Goose,two-passage-migrant,two-passage,,,,,February 22-28,March 1-7,March 22-31,October 8-14,October 8-14,October 8-14,,,,,
Cackling Goose,two-passage-migrant,two-passage,,,,,March 1-7,March 15-21,March 15-21,September 22-30,November 1-7,December 22-31,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Black Swan,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,August 22-31,December 22-31
Trumpeter Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Tundra Swan,single-season,winter,,,,,,,,,,,October 22-31,November 15-21,March 22-31,,
Egyptian Goose,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,June 1-7,August 22-31
Ruddy Shelduck,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,August 8-14
Muscovy Duck,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,July 1-7,November 8-14
Wood Duck,single-season,summer,,March 8-14,August 15-21,October 22-31,,,,,,,,,,,
Blue-winged Teal,single-season,summer,,March 22-31,April 15-21,October 15-21,,,,,,,,,,,
Cinnamon Teal,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,March 15-21,April 22-30
Northern Shoveler,single-season,summer,,February 22-28,November 22-30,January 8-14,,,,,,,,,,,
Gadwall,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Wigeon,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,October 8-14
American Wigeon,two-passage-migrant,two-passage,,,,,February 22-28,March 15-21,May 1-7,September 8-14,October 8-14,November 22-30,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,July 22-31,November 15-21,March 8-14,,
Northern Pintail,single-season,winter,,,,,,,,,,,September 8-14,September 22-30,April 22-30,,
Green-winged Teal,single-season,summer,,March 1-7,October 22-31,November 22-30,,,,,,,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,February 8-14,April 1-7,April 22-30,September 22-30,November 1-7,December 1-7,,,,,
Redhead,resident,year-round,year-round,,,,,,,,,,,,,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,March 1-7,April 1-7,May 1-7,September 22-30,October 22-31,December 15-21,,,,,
Greater Scaup,single-season,winter,,,,,,,,,,,October 15-21,March 1-7,May 1-7,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,February 1-7,April 1-7,July 15-21,September 22-30,November 8-14,December 22-31,,,,,
King Eider,vagrant,irregular,irregular,,February 8-14,,,,,,,,,,,February 1-7,March 8-14
Common Eider,vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,February 15-21,March 8-14
Harlequin Duck,two-passage-migrant,two-passage,,,,,January 22-31,January 22-31,January 22-31,November 1-7,November 1-7,November 15-21,,,,,
