Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0100779,4366.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0017434,2868.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0018692,2675.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0055479,3605.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0110824,2707.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0035503,4225.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0018521,6479.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0022279,3142.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0047334,3169.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0018154,3305.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0010992,3639.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0007366,5430.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0009298,4302.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0009141,4376.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0009418,4247.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0006116,6540.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0015916,6283.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0008822,6801.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0005994,5005.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0004195,4768.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0,2831.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,2802.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,2451.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,2803.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0328,2500.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0084493,2012.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0004649,2151.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0,3073.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0008684,2303.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,2137.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0074472,2417.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0072748,3574.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0035286,2834.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0033613,2975.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0027992,2858.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0011086,3608.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.001557,2569.0
Black-bellied Whistling-Duck,10,2,Oct_W2,0.0,2541.0
Black-bellied Whistling-Duck,10,3,Oct_W3,0.0025054,2794.0
Black-bellied Whistling-Duck,10,4,Oct_W4,0.004442,3602.0
Black-bellied Whistling-Duck,11,1,Nov_W1,0.0050872,2752.0
Black-bellied Whistling-Duck,11,2,Nov_W2,0.0016639,2404.0
Black-bellied Whistling-Duck,11,3,Nov_W3,0.000438,2283.0
Black-bellied Whistling-Duck,11,4,Nov_W4,0.0029136,3089.0
Black-bellied Whistling-Duck,12,1,Dec_W1,0.0078393,2041.0
Black-bellied Whistling-Duck,12,2,Dec_W2,0.001956,2045.0
Black-bellied Whistling-Duck,12,3,Dec_W3,0.0003711,2695.0
Black-bellied Whistling-Duck,12,4,Dec_W4,0.0040285,3227.0
Snow Goose,1,1,Jan_W1,0.0,4366.0
Snow Goose,1,2,Jan_W2,0.0,2868.0
Snow Goose,1,3,Jan_W3,0.0,2675.0
Snow Goose,1,4,Jan_W4,0.0,3605.0
Snow Goose,2,1,Feb_W1,0.0011082,2707.0
Snow Goose,2,2,Feb_W2,0.0,4225.0
Snow Goose,2,3,Feb_W3,0.0001543,6479.0
Snow Goose,2,4,Feb_W4,0.0,3142.0
Snow Goose,3,1,Mar_W1,0.0,3169.0
Snow Goose,3,2,Mar_W2,0.0006051,3305.0
Snow Goose,3,3,Mar_W3,0.0002748,3639.0
Snow Goose,3,4,Mar_W4,0.0,5430.0
Snow Goose,4,1,Apr_W1,0.0,4302.0
Snow Goose,4,2,Apr_W2,0.0002285,4376.0
Snow Goose,4,3,Apr_W3,0.0,4247.0
Snow Goose,4,4,Apr_W4,0.0004587,6540.0
Snow Goose,5,1,May_W1,0.0,6283.0
Snow Goose,5,2,May_W2,0.0,6801.0
Snow Goose,5,3,May_W3,0.0,5005.0
Snow Goose,5,4,May_W4,0.0,4768.0
Snow Goose,6,1,Jun_W1,0.0,2831.0
Snow Goose,6,2,Jun_W2,0.0,2802.0
Snow Goose,6,3,Jun_W3,0.0,2451.0
Snow Goose,6,4,Jun_W4,0.0,2803.0
Snow Goose,7,1,Jul_W1,0.0,2500.0
Snow Goose,7,2,Jul_W2,0.0,2012.0
Snow Goose,7,3,Jul_W3,0.0,2151.0
Snow Goose,7,4,Jul_W4,0.0,3073.0
Snow Goose,8,1,Aug_W1,0.0,2303.0
Snow Goose,8,2,Aug_W2,0.0,2137.0
Snow Goose,8,3,Aug_W3,0.0,2417.0
Snow Goose,8,4,Aug_W4,0.0,3574.0
Snow Goose,9,1,Sep_W1,0.0,2834.0
Snow Goose,9,2,Sep_W2,0.0,2975.0
Snow Goose,9,3,Sep_W3,0.0069979,2858.0
Snow Goose,9,4,Sep_W4,0.0,3608.0
Snow Goose,10,1,Oct_W1,0.0019463,2569.0
Snow Goose,10,2,Oct_W2,0.0003935,2541.0
Snow Goose,10,3,Oct_W3,0.0007158,2794.0
Snow Goose,10,4,Oct_W4,0.0002776,3602.0
Snow Goose,11,1,Nov_W1,0.0003634,2752.0
Snow Goose,11,2,Nov_W2,0.000416,2404.0
Snow Goose,11,3,Nov_W3,0.0039422,2283.0
Snow Goose,11,4,Nov_W4,0.0015,3089.0
Snow Goose,12,1,Dec_W1,0.0,2041.0
Snow Goose,12,2,Dec_W2,0.0,2045.0
Snow Goose,12,3,Dec_W3,0.0018553,2695.0
Snow Goose,12,4,Dec_W4,0.0003099,3227.0
Ross's Goose,1,1,Jan_W1,0.0,4366.0
Ross's Goose,1,2,Jan_W2,0.0006974,2868.0
Ross's Goose,1,3,Jan_W3,0.0041121,2675.0
Ross's Goose,1,4,Jan_W4,0.0,3605.0
Ross's Goose,2,1,Feb_W1,0.0,2707.0
Ross's Goose,2,2,Feb_W2,0.0,4225.0
Ross's Goose,2,3,Feb_W3,0.0,6479.0
Ross's Goose,2,4,Feb_W4,0.0015,3142.0
Ross's Goose,3,1,Mar_W1,0.0006311,3169.0
Ross's Goose,3,2,Mar_W2,0.0051437,3305.0
Ross's Goose,3,3,Mar_W3,0.0008244,3639.0
Ross's Goose,3,4,Mar_W4,0.0003683,5430.0
Ross's Goose,4,1,Apr_W1,0.0,4302.0
Ross's Goose,4,2,Apr_W2,0.0,4376.0
Ross's Goose,4,3,Apr_W3,0.0,4247.0
Ross's Goose,4,4,Apr_W4,0.0,6540.0
Ross's Goose,5,1,May_W1,0.0,6283.0
Ross's Goose,5,2,May_W2,0.0,6801.0
Ross's Goose,5,3,May_W3,0.0,5005.0
Ross's Goose,5,4,May_W4,0.0,4768.0
Ross's Goose,6,1,Jun_W1,0.0,2831.0
Ross's Goose,6,2,Jun_W2,0.0,2802.0
Ross's Goose,6,3,Jun_W3,0.0,2451.0
Ross's Goose,6,4,Jun_W4,0.0,2803.0
Ross's Goose,7,1,Jul_W1,0.0,2500.0
Ross's Goose,7,2,Jul_W2,0.0,2012.0
Ross's Goose,7,3,Jul_W3,0.0,2151.0
Ross's Goose,7,4,Jul_W4,0.0,3073.0
Ross's Goose,8,1,Aug_W1,0.0,2303.0
Ross's Goose,8,2,Aug_W2,0.0,2137.0
Ross's Goose,8,3,Aug_W3,0.0,2417.0
Ross's Goose,8,4,Aug_W4,0.0,3574.0
Ross's Goose,9,1,Sep_W1,0.0,2834.0
Ross's Goose,9,2,Sep_W2,0.0,2975.0
Ross's Goose,9,3,Sep_W3,0.0,2858.0
Ross's Goose,9,4,Sep_W4,0.0011086,3608.0
Ross's Goose,10,1,Oct_W1,0.0,2569.0
Ross's Goose,10,2,Oct_W2,0.0,2541.0
Ross's Goose,10,3,Oct_W3,0.0,2794.0
Ross's Goose,10,4,Oct_W4,0.0,3602.0
Ross's Goose,11,1,Nov_W1,0.0,2752.0
Ross's Goose,11,2,Nov_W2,0.0,2404.0
Ross's Goose,11,3,Nov_W3,0.0,2283.0
Ross's Goose,11,4,Nov_W4,0.0,3089.0
Ross's Goose,12,1,Dec_W1,0.0,2041.0
Ross's Goose,12,2,Dec_W2,0.0,2045.0
Ross's Goose,12,3,Dec_W3,0.0,2695.0
Ross's Goose,12,4,Dec_W4,0.0,3227.0
Graylag Goose,1,1,Jan_W1,0.0,4366.0
Graylag Goose,1,2,Jan_W2,0.0,2868.0
Graylag Goose,1,3,Jan_W3,0.0,2675.0
Graylag Goose,1,4,Jan_W4,0.0,3605.0
Graylag Goose,2,1,Feb_W1,0.0,2707.0
Graylag Goose,2,2,Feb_W2,0.0,4225.0
Graylag Goose,2,3,Feb_W3,0.0,6479.0
Graylag Goose,2,4,Feb_W4,0.0,3142.0
Graylag Goose,3,1,Mar_W1,0.0,3169.0
Graylag Goose,3,2,Mar_W2,0.0,3305.0
Graylag Goose,3,3,Mar_W3,0.0,3639.0
Graylag Goose,3,4,Mar_W4,0.0,5430.0
Graylag Goose,4,1,Apr_W1,0.0,4302.0
Graylag Goose,4,2,Apr_W2,0.0,4376.0
Graylag Goose,4,3,Apr_W3,0.0,4247.0
Graylag Goose,4,4,Apr_W4,0.0,6540.0
Graylag Goose,5,1,May_W1,0.0,6283.0
Graylag Goose,5,2,May_W2,0.0,6801.0
Graylag Goose,5,3,May_W3,0.0,5005.0
Graylag Goose,5,4,May_W4,0.0,4768.0
Graylag Goose,6,1,Jun_W1,0.0,2831.0
Graylag Goose,6,2,Jun_W2,0.0,2802.0
Graylag Goose,6,3,Jun_W3,0.0,2451.0
Graylag Goose,6,4,Jun_W4,0.0,2803.0
Graylag Goose,7,1,Jul_W1,0.0,2500.0
Graylag Goose,7,2,Jul_W2,0.0,2012.0
Graylag Goose,7,3,Jul_W3,0.0,2151.0
Graylag Goose,7,4,Jul_W4,0.0,3073.0
Graylag Goose,8,1,Aug_W1,0.0,2303.0
Graylag Goose,8,2,Aug_W2,0.0,2137.0
Graylag Goose,8,3,Aug_W3,0.0,2417.0
Graylag Goose,8,4,Aug_W4,0.0,3574.0
Graylag Goose,9,1,Sep_W1,0.0,2834.0
Graylag Goose,9,2,Sep_W2,0.0,2975.0
Graylag Goose,9,3,Sep_W3,0.0,2858.0
Graylag Goose,9,4,Sep_W4,0.0,3608.0
Graylag Goose,10,1,Oct_W1,0.0,2569.0
Graylag Goose,10,2,Oct_W2,0.0,2541.0
Graylag Goose,10,3,Oct_W3,0.0,2794.0
Graylag Goose,10,4,Oct_W4,0.0,3602.0
Graylag Goose,11,1,Nov_W1,0.0,2752.0
Graylag Goose,11,2,Nov_W2,0.0,2404.0
Graylag Goose,11,3,Nov_W3,0.0,2283.0
Graylag Goose,11,4,Nov_W4,0.0,3089.0
Graylag Goose,12,1,Dec_W1,0.0015,2041.0
Graylag Goose,12,2,Dec_W2,0.0,2045.0
Graylag Goose,12,3,Dec_W3,0.0,2695.0
Graylag Goose,12,4,Dec_W4,0.0,3227.0
Swan Goose,1,1,Jan_W1,0.0,4366.0
Swan Goose,1,2,Jan_W2,0.0,2868.0
Swan Goose,1,3,Jan_W3,0.0,2675.0
Swan Goose,1,4,Jan_W4,0.0,3605.0
Swan Goose,2,1,Feb_W1,0.0,2707.0
Swan Goose,2,2,Feb_W2,0.0,4225.0
Swan Goose,2,3,Feb_W3,0.0001543,6479.0
Swan Goose,2,4,Feb_W4,0.0,3142.0
Swan Goose,3,1,Mar_W1,0.0,3169.0
Swan Goose,3,2,Mar_W2,0.0,3305.0
Swan Goose,3,3,Mar_W3,0.0,3639.0
Swan Goose,3,4,Mar_W4,0.0,5430.0
Swan Goose,4,1,Apr_W1,0.0,4302.0
Swan Goose,4,2,Apr_W2,0.0,4376.0
Swan Goose,4,3,Apr_W3,0.0,4247.0
Swan Goose,4,4,Apr_W4,0.0,6540.0
Swan Goose,5,1,May_W1,0.0,6283.0
Swan Goose,5,2,May_W2,0.0,6801.0
Swan Goose,5,3,May_W3,0.0,5005.0
Swan Goose,5,4,May_W4,0.0,4768.0
Swan Goose,6,1,Jun_W1,0.0,2831.0
Swan Goose,6,2,Jun_W2,0.0,2802.0
Swan Goose,6,3,Jun_W3,0.0,2451.0
Swan Goose,6,4,Jun_W4,0.0,2803.0
Swan Goose,7,1,Jul_W1,0.0,2500.0
Swan Goose,7,2,Jul_W2,0.0,2012.0
Swan Goose,7,3,Jul_W3,0.0,2151.0
Swan Goose,7,4,Jul_W4,0.0,3073.0
Swan Goose,8,1,Aug_W1,0.0,2303.0
Swan Goose,8,2,Aug_W2,0.0,2137.0
Swan Goose,8,3,Aug_W3,0.0,2417.0
Swan Goose,8,4,Aug_W4,0.0,3574.0
Swan Goose,9,1,Sep_W1,0.0,2834.0
Swan Goose,9,2,Sep_W2,0.0,2975.0
Swan Goose,9,3,Sep_W3,0.0,2858.0
Swan Goose,9,4,Sep_W4,0.0,3608.0
Swan Goose,10,1,Oct_W1,0.0,2569.0
Swan Goose,10,2,Oct_W2,0.0,2541.0
Swan Goose,10,3,Oct_W3,0.0,2794.0
Swan Goose,10,4,Oct_W4,0.0,3602.0
Swan Goose,11,1,Nov_W1,0.0,2752.0
Swan Goose,11,2,Nov_W2,0.0,2404.0
Swan Goose,11,3,Nov_W3,0.0,2283.0
Swan Goose,11,4,Nov_W4,0.0,3089.0
Swan Goose,12,1,Dec_W1,0.0,2041.0
Swan Goose,12,2,Dec_W2,0.0,2045.0
Swan Goose,12,3,Dec_W3,0.0,2695.0
Swan Goose,12,4,Dec_W4,0.0,3227.0
Greater White-fronted Goose,1,1,Jan_W1,0.0004581,4366.0
Greater White-fronted Goose,1,2,Jan_W2,0.0,2868.0
Greater White-fronted Goose,1,3,Jan_W3,0.0,2675.0
Greater White-fronted Goose,1,4,Jan_W4,0.0,3605.0
Greater White-fronted Goose,2,1,Feb_W1,0.0011082,2707.0
Greater White-fronted Goose,2,2,Feb_W2,0.0009467,4225.0
Greater White-fronted Goose,2,3,Feb_W3,0.0,6479.0
Greater White-fronted Goose,2,4,Feb_W4,0.0,3142.0
Greater White-fronted Goose,3,1,Mar_W1,0.0003156,3169.0
Greater White-fronted Goose,3,2,Mar_W2,0.0015,3305.0
Greater White-fronted Goose,3,3,Mar_W3,0.0002748,3639.0
Greater White-fronted Goose,3,4,Mar_W4,0.0001842,5430.0
Greater White-fronted Goose,4,1,Apr_W1,0.0004649,4302.0
Greater White-fronted Goose,4,2,Apr_W2,0.0,4376.0
Greater White-fronted Goose,4,3,Apr_W3,0.0,4247.0
Greater White-fronted Goose,4,4,Apr_W4,0.0,6540.0
Greater White-fronted Goose,5,1,May_W1,0.0,6283.0
Greater White-fronted Goose,5,2,May_W2,0.0,6801.0
Greater White-fronted Goose,5,3,May_W3,0.0,5005.0
Greater White-fronted Goose,5,4,May_W4,0.0,4768.0
Greater White-fronted Goose,6,1,Jun_W1,0.0,2831.0
Greater White-fronted Goose,6,2,Jun_W2,0.0,2802.0
Greater White-fronted Goose,6,3,Jun_W3,0.0,2451.0
Greater White-fronted Goose,6,4,Jun_W4,0.0,2803.0
Greater White-fronted Goose,7,1,Jul_W1,0.0,2500.0
Greater White-fronted Goose,7,2,Jul_W2,0.0,2012.0
Greater White-fronted Goose,7,3,Jul_W3,0.0,2151.0
Greater White-fronted Goose,7,4,Jul_W4,0.0,3073.0
Greater White-fronted Goose,8,1,Aug_W1,0.0,2303.0
Greater White-fronted Goose,8,2,Aug_W2,0.0,2137.0
Greater White-fronted Goose,8,3,Aug_W3,0.0,2417.0
Greater White-fronted Goose,8,4,Aug_W4,0.0,3574.0
Greater White-fronted Goose,9,1,Sep_W1,0.0,2834.0
Greater White-fronted Goose,9,2,Sep_W2,0.0,2975.0
Greater White-fronted Goose,9,3,Sep_W3,0.0,2858.0
Greater White-fronted Goose,9,4,Sep_W4,0.0,3608.0
Greater White-fronted Goose,10,1,Oct_W1,0.0,2569.0
Greater White-fronted Goose,10,2,Oct_W2,0.0,2541.0
Greater White-fronted Goose,10,3,Oct_W3,0.0,2794.0
Greater White-fronted Goose,10,4,Oct_W4,0.0002776,3602.0
Greater White-fronted Goose,11,1,Nov_W1,0.0083576,2752.0
Greater White-fronted Goose,11,2,Nov_W2,0.000416,2404.0
Greater White-fronted Goose,11,3,Nov_W3,0.0013141,2283.0
Greater White-fronted Goose,11,4,Nov_W4,0.0032373,3089.0
Greater White-fronted Goose,12,1,Dec_W1,0.0,2041.0
Greater White-fronted Goose,12,2,Dec_W2,0.0,2045.0
Greater White-fronted Goose,12,3,Dec_W3,0.0003711,2695.0
Greater White-fronted Goose,12,4,Dec_W4,0.0006198,3227.0
Cackling Goose,1,1,Jan_W1,0.0016033,4366.0
Cackling Goose,1,2,Jan_W2,0.001046,2868.0
Cackling Goose,1,3,Jan_W3,0.0,2675.0
Cackling Goose,1,4,Jan_W4,0.0,3605.0
Cackling Goose,2,1,Feb_W1,0.0,2707.0
Cackling Goose,2,2,Feb_W2,0.0,4225.0
Cackling Goose,2,3,Feb_W3,0.0001543,6479.0
Cackling Goose,2,4,Feb_W4,0.0,3142.0
Cackling Goose,3,1,Mar_W1,0.0006311,3169.0
Cackling Goose,3,2,Mar_W2,0.0006051,3305.0
Cackling Goose,3,3,Mar_W3,0.0010992,3639.0
Cackling Goose,3,4,Mar_W4,0.0003683,5430.0
Cackling Goose,4,1,Apr_W1,0.0,4302.0
Cackling Goose,4,2,Apr_W2,0.0015,4376.0
Cackling Goose,4,3,Apr_W3,0.0,4247.0
Cackling Goose,4,4,Apr_W4,0.0,6540.0
Cackling Goose,5,1,May_W1,0.0,6283.0
Cackling Goose,5,2,May_W2,0.0,6801.0
Cackling Goose,5,3,May_W3,0.0,5005.0
Cackling Goose,5,4,May_W4,0.0,4768.0
Cackling Goose,6,1,Jun_W1,0.0,2831.0
Cackling Goose,6,2,Jun_W2,0.0,2802.0
Cackling Goose,6,3,Jun_W3,0.0,2451.0
Cackling Goose,6,4,Jun_W4,0.0,2803.0
Cackling Goose,7,1,Jul_W1,0.0,2500.0
Cackling Goose,7,2,Jul_W2,0.0,2012.0
Cackling Goose,7,3,Jul_W3,0.0,2151.0
