Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0,2963.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0,1776.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0,1598.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0,2040.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0,1560.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0,1923.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0,2901.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0,1990.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0,2421.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0,2324.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0,2052.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0,2710.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0,2209.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0,2618.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0,2644.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0,3872.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0,3839.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0,4141.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0024314,2879.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0,2738.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0,1491.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,1361.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,1234.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,1308.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0,1232.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0408859,1174.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0028436,1055.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0,1441.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0,1085.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,1102.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0,1221.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0,1980.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0,1540.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0,1391.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0,1344.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0,1673.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.0,1427.0
