species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.040886,0.0,0.0,3,1,winter,No,
Snow Goose,two-passage-migrant,two-passage,0.009039,0.0,0.0,26,2,winter|summer,Yes,classic_bimodal
Ross's Goose,two-passage-migrant,two-passage,0.015779,0.0,0.0,18,2,winter|summer,No,classic_bimodal
Graylag Goose,vagrant,irregular,0.002457,0.0,0.0,14,1,winter,No,low_peak_frequency|low_presence
Swan Goose,vagrant,irregular,0.000503,0.0,0.0,3,1,winter,No,low_peak_frequency
Greater White-fronted Goose,two-passage-migrant,two-passage,0.016522,0.0,0.0,23,2,summer|winter,No,classic_bimodal
Brant,vagrant,irregular,0.044164,0.0,0.0,2,1,winter,No,
Barnacle Goose,vagrant,irregular,0.00553,0.0,0.0,6,1,winter,No,
Cackling Goose,single-season,winter,0.012528,0.0,0.0,18,1,summer,No,overwintering
Canada Goose,resident,year-round,0.554097,0.111201,0.2007,48,0,,No,seasonal_variation
Mute Swan,resident,year-round,0.190189,0.06422,0.3377,48,0,,No,seasonal_variation
Black Swan,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Trumpeter Swan,single-season,winter,0.059122,0.001896,0.0321,48,1,summer,No,overwintering
Tundra Swan,single-season,winter,0.041667,0.0,0.0,26,1,summer,Yes,overwintering
Ruddy Shelduck,vagrant,irregular,0.000737,0.0,0.0,1,1,winter,No,low_peak_frequency
Muscovy Duck,vagrant,irregular,0.001961,0.0,0.0,15,1,winter,No,low_peak_frequency
Wood Duck,single-season,summer,0.206264,0.002941,0.0143,48,1,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.187595,0.0,0.0,34,2,summer|winter,No,classic_bimodal
Cinnamon Teal,vagrant,irregular,0.001891,0.0,0.0,2,1,winter,No,low_peak_frequency
Northern Shoveler,two-passage-migrant,two-passage,0.12268,0.0,0.0,42,2,summer|winter,No,classic_bimodal
Gadwall,single-season,winter,0.082657,0.0,0.0,41,1,summer,No,overwintering
Eurasian Wigeon,single-season,summer,0.020371,0.0,0.0,10,1,winter,No,low_presence
American Wigeon,two-passage-migrant,two-passage,0.078316,0.0,0.0,39,3,winter|summer|winter,No,three_valley_migrant
Mallard,resident,year-round,0.552029,0.257497,0.4665,48,0,,No,seasonal_variation
American Black Duck,single-season,winter,0.044638,0.000724,0.0162,48,1,summer,No,overwintering
Northern Pintail,single-season,winter,0.034396,0.0,0.0,37,1,summer,Yes,overwintering
Green-winged Teal,two-passage-migrant,two-passage,0.086409,0.0,0.0,45,3,winter|summer|winter,No,three_valley_migrant
Canvasback,single-season,winter,0.036145,0.0,0.0,30,1,summer,Yes,overwintering
Redhead,single-season,winter,0.19083,0.0,0.0,45,1,summer,No,overwintering
Ring-necked Duck,two-passage-migrant,two-passage,0.112721,0.0,0.0,32,2,winter|summer,Yes,classic_bimodal
Tufted Duck,vagrant,irregular,0.071045,0.0,0.0,2,1,winter,No,
Greater Scaup,single-season,winter,0.168525,0.0,0.0,35,1,summer,Yes,overwintering
Lesser Scaup,single-season,winter,0.113589,0.0,0.0,41,1,summer,No,overwintering
King Eider,vagrant,irregular,0.017544,0.0,0.0,4,1,winter,No,
Common Eider,vagrant,irregular,0.019408,0.0,0.0,2,1,summer,Yes,
Harlequin Duck,single-season,winter,0.031558,0.0,0.0,30,1,summer,Yes,overwintering
Surf Scoter,single-season,winter,0.016434,0.0,0.0,29,1,summer,No,overwintering
White-winged Scoter,single-season,winter,0.078067,0.0,0.0,31,1,summer,Yes,overwintering
Black Scoter,single-season,winter,0.015773,0.0,0.0,23,1,summer,Yes,overwintering
Long-tailed Duck,single-season,winter,0.15575,0.0,0.0,37,1,summer,Yes,overwintering
Bufflehead,single-season,winter,0.197827,0.0,0.0,42,1,summer,No,overwintering
Common Goldeneye,single-season,winter,0.254068,0.0,0.0,31,1,summer,Yes,overwintering
Barrow's Goldeneye,vagrant,irregular,0.00572,0.0,0.0,4,1,winter,No,
Hooded Merganser,single-season,winter,0.060429,0.000695,0.0115,48,2,summer|summer,No,overwintering|two_summer_valleys_merged
Common Merganser,single-season,winter,0.194472,0.0,0.0,41,1,summer,No,overwintering
Red-breasted Merganser,single-season,winter,0.247005,0.0,0.0,44,1,summer,No,overwintering
Ruddy Duck,two-passage-migrant,two-passage,0.085855,0.00081,0.0094,48,3,winter|summer|winter,No,three_valley_migrant
Helmeted Guineafowl,vagrant,irregular,0.000701,0.0,0.0,1,1,winter,No,low_peak_frequency
Northern Bobwhite,vagrant,irregular,0.002082,0.0,0.0,11,1,winter,No,low_peak_frequency|low_presence
Wild Turkey,resident,year-round,0.069065,0.011645,0.1686,48,0,,No,seasonal_variation|min_max_near_boundary
Ruffed Grouse,vagrant,irregular,0.0015,0.0,0.0,9,1,winter,Yes,low_peak_frequency
Ring-necked Pheasant,vagrant,irregular,0.004202,0.0,0.0,45,1,winter,No,low_peak_frequency
Chukar,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Rock Pigeon,resident,year-round,0.092669,0.027223,0.2938,48,0,,No,seasonal_variation
Eurasian Collared-Dove,single-season,winter,0.007435,0.0,0.0,33,2,summer|summer,No,overwintering|two_summer_valleys_merged
White-winged Dove,vagrant,irregular,0.002431,0.0,0.0,2,1,winter,No,low_peak_frequency
Mourning Dove,resident,year-round,0.512175,0.19795,0.3865,48,0,,No,seasonal_variation
Yellow-billed Cuckoo,single-season,summer,0.038088,0.0,0.0,23,1,winter,No,
Black-billed Cuckoo,single-season,summer,0.030679,0.0,0.0,21,1,winter,No,
Common Nighthawk,two-passage-migrant,two-passage,0.020146,0.0,0.0,20,2,summer|winter,No,classic_bimodal
Chuck-will's-widow,vagrant,irregular,0.000517,0.0,0.0,1,1,winter,No,low_peak_frequency
Eastern Whip-poor-will,single-season,summer,0.013414,0.0,0.0,20,1,winter,No,
Chimney Swift,single-season,summer,0.1372,0.0,0.0,25,1,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.305195,0.0,0.0,26,1,winter,No,
Rufous Hummingbird,vagrant,irregular,0.00194,0.0,0.0,3,1,winter,No,low_peak_frequency
King Rail,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Virginia Rail,single-season,summer,0.063275,0.0,0.0,34,1,winter,No,
Sora,single-season,summer,0.123991,0.0,0.0,27,1,winter,No,
Common Gallinule,single-season,summer,0.031656,0.0,0.0,27,1,winter,No,
American Coot,two-passage-migrant,two-passage,0.119516,0.000819,0.0069,48,2,winter|summer,No,classic_bimodal
Yellow Rail,vagrant,irregular,0.01094,0.0,0.0,3,1,winter,No,
Black Rail,vagrant,irregular,0.0015,0.0,0.0,3,1,winter,No,low_peak_frequency
Limpkin,vagrant,irregular,0.028283,0.0,0.0,6,1,winter,No,
Sandhill Crane,single-season,summer,0.204165,0.0,0.0,45,1,winter,No,
Whooping Crane,vagrant,irregular,0.00573,0.0,0.0,2,1,winter,No,
Black-necked Stilt,vagrant,irregular,0.014137,0.0,0.0,1,1,winter,No,
American Avocet,single-season,summer,0.011374,0.0,0.0,18,1,winter,No,
Black-bellied Plover,single-season,summer,0.025298,0.0,0.0,18,1,winter,No,
American Golden-Plover,single-season,summer,0.049351,0.0,0.0,15,1,winter,No,
Killdeer,single-season,summer,0.252399,0.0,0.0,44,1,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.065584,0.0,0.0,23,2,summer|winter,No,classic_bimodal
Piping Plover,vagrant,irregular,0.020819,0.0,0.0,9,1,winter,No,
Upland Sandpiper,single-season,summer,0.01461,0.0,0.0,16,1,winter,No,
Hudsonian Whimbrel,vagrant,irregular,0.002779,0.0,0.0,5,1,winter,No,low_peak_frequency
Hudsonian Godwit,vagrant,irregular,0.00101,0.0,0.0,1,1,winter,No,low_peak_frequency
Marbled Godwit,vagrant,irregular,0.005352,0.0,0.0,9,1,winter,No,
Short-billed Dowitcher,vagrant,irregular,0.010768,0.0,0.0,14,3,summer|summer|winter,No,three_valleys_irregular|low_presence
Long-billed Dowitcher,vagrant,irregular,0.007243,0.0,0.0,8,1,winter,No,
American Woodcock,single-season,summer,0.026568,0.0,0.0,35,1,winter,No,
Wilson's Snipe,two-passage-migrant,two-passage,0.042399,0.0,0.0,42,2,summer|winter,No,classic_bimodal
Wilson's Phalarope,two-passage-migrant,two-passage,0.013923,0.0,0.0,10,2,summer|winter,No,classic_bimodal|low_presence
Red Phalarope,vagrant,irregular,0.011688,0.0,0.0,5,1,winter,No,
Red-necked Phalarope,vagrant,irregular,0.008081,0.0,0.0,8,2,summer|winter,No,
Spotted Sandpiper,single-season,summer,0.167877,0.0,0.0,29,1,winter,No,
Solitary Sandpiper,two-passage-migrant,two-passage,0.063298,0.0,0.0,22,2,summer|winter,No,classic_bimodal
Lesser Yellowlegs,two-passage-migrant,two-passage,0.079798,0.0,0.0,28,2,summer|winter,No,classic_bimodal
Willet,two-passage-migrant,two-passage,0.01682,0.0,0.0,18,2,summer|winter,No,classic_bimodal
Greater Yellowlegs,two-passage-migrant,two-passage,0.047262,0.0,0.0,30,2,summer|winter,No,classic_bimodal
Ruddy Turnstone,two-passage-migrant,two-passage,0.034848,0.0,0.0,18,2,summer|winter,No,classic_bimodal
Red Knot,vagrant,irregular,0.032323,0.0,0.0,6,1,winter,No,
Curlew Sandpiper,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Stilt Sandpiper,vagrant,irregular,0.02013,0.0,0.0,9,1,winter,No,
Buff-breasted Sandpiper,vagrant,irregular,0.028571,0.0,0.0,7,1,winter,No,
Sanderling,single-season,summer,0.165349,0.0,0.0,27,1,winter,No,
Dunlin,two-passage-migrant,two-passage,0.055369,0.0,0.0,22,2,summer|winter,No,classic_bimodal
Purple Sandpiper,vagrant,irregular,0.068564,0.0,0.0,25,2,summer|mixed,Yes,two_valleys_close
Baird's Sandpiper,vagrant,irregular,0.042929,0.0,0.0,9,1,winter,No,
White-rumped Sandpiper,vagrant,irregular,0.006452,0.0,0.0,8,1,winter,No,
