species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,May 15-21,July 15-21
Snow Goose,two-passage-migrant,two-passage,,,,,February 22-28,February 22-28,March 1-7,October 1-7,October 15-21,November 15-21,,,,,
Ross's Goose,two-passage-migrant,two-passage,,,,,February 22-28,February 22-28,February 22-28,November 22-30,December 1-7,December 15-21,,,,,
Graylag Goose,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,August 1-7,October 22-31
Swan Goose,vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,,
Greater White-fronted Goose,two-passage-migrant,two-passage,,,,,December 15-21,March 1-7,March 22-31,October 1-7,October 1-7,October 1-7,,,,,
Brant,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 8-14,November 15-21
Barnacle Goose,vagrant,irregular,irregular,,August 1-7,,,,,,,,,,,May 8-14,August 15-21
Cackling Goose,single-season,winter,,,,,,,,,,,October 8-14,November 1-7,December 15-21,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Black Swan,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,November 8-14,November 8-14
Trumpeter Swan,single-season,winter,,,,,,,,,,,August 15-21,January 8-14,April 15-21,,
Tundra Swan,single-season,winter,,,,,,,,,,,October 22-31,February 1-7,March 15-21,,
Ruddy Shelduck,vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,,
Muscovy Duck,vagrant,irregular,irregular,,January 22-31,,,,,,,,,,,January 8-14,November 22-30
Wood Duck,single-season,summer,,March 8-14,April 8-14,November 8-14,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,May 8-14,August 22-31,September 1-7,September 1-7,,,,,
Cinnamon Teal,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,April 15-21
Northern Shoveler,two-passage-migrant,two-passage,,,,,February 22-28,April 1-7,May 1-7,October 15-21,November 15-21,November 22-30,,,,,
Gadwall,single-season,winter,,,,,,,,,,,October 1-7,March 22-31,May 1-7,,
Eurasian Wigeon,vagrant,irregular,irregular,,April 1-7,,,,,,,,,,,January 1-7,December 15-21
American Wigeon,two-passage-migrant,two-passage,,,,,February 22-28,April 1-7,April 22-30,October 1-7,November 1-7,November 15-21,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,August 1-7,December 22-31,April 8-14,,
Northern Pintail,single-season,winter,,,,,,,,,,,October 1-7,November 8-14,April 15-21,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,February 22-28,April 1-7,May 1-7,August 22-31,November 8-14,November 22-30,,,,,
Canvasback,single-season,winter,,,,,,,,,,,October 22-31,March 8-14,April 8-14,,
Redhead,single-season,winter,,,,,,,,,,,October 15-21,March 1-7,April 8-14,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,February 22-28,April 1-7,May 1-7,December 22-31,January 8-14,January 8-14,,,,,
Tufted Duck,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,February 22-28,March 1-7
Greater Scaup,single-season,winter,,,,,,,,,,,November 8-14,March 1-7,April 15-21,,
Lesser Scaup,single-season,winter,,,,,,,,,,,October 15-21,March 1-7,May 1-7,,
King Eider,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,February 22-28,March 22-31
Common Eider,vagrant,irregular,irregular,,December 22-31,,,,,,,,,,,January 1-7,December 22-31
Harlequin Duck,single-season,winter,,,,,,,,,,,October 1-7,December 1-7,March 22-31,,
Surf Scoter,single-season,winter,,,,,,,,,,,October 8-14,October 15-21,March 8-14,,
White-winged Scoter,single-season,winter,,,,,,,,,,,October 15-21,March 1-7,April 15-21,,
Black Scoter,single-season,winter,,,,,,,,,,,October 15-21,November 15-21,March 8-14,,
Long-tailed Duck,single-season,winter,,,,,,,,,,,November 8-14,December 22-31,April 1-7,,
Bufflehead,single-season,winter,,,,,,,,,,,October 22-31,April 1-7,May 1-7,,
Common Goldeneye,single-season,winter,,,,,,,,,,,November 8-14,January 15-21,March 22-31,,
Barrow's Goldeneye,vagrant,irregular,irregular,,February 8-14,,,,,,,,,,,January 15-21,February 15-21
Hooded Merganser,single-season,winter,,,,,,,,,,,October 22-31,March 15-21,April 15-21,,
Common Merganser,single-season,winter,,,,,,,,,,,November 8-14,February 22-28,April 8-14,,
Red-breasted Merganser,single-season,winter,,,,,,,,,,,October 22-31,March 1-7,April 22-30,,
Ruddy Duck,two-passage-migrant,two-passage,,,,,April 1-7,April 15-21,May 1-7,October 1-7,October 22-31,November 15-21,,,,,
Helmeted Guineafowl,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,,
