Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0,4632.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0,3097.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0,2982.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0,3945.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0,2935.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0,3733.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0,5076.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0,3525.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0,3716.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0,4064.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0,4155.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0,6403.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0,5119.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0,5553.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0,5550.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0015,8390.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0001192,8391.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0,11275.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0,6174.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0,7739.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0084691,4605.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,4115.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,4071.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,4473.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0,3510.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0,2954.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0,2757.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0,3639.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0,2411.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,2395.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0,2535.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0,4015.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0,3292.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0,3246.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0,2870.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0,3636.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.0,2863.0
Black-bellied Whistling-Duck,10,2,Oct_W2,0.0,3029.0
Black-bellied Whistling-Duck,10,3,Oct_W3,0.0,2696.0
Black-bellied Whistling-Duck,10,4,Oct_W4,0.0,4011.0
Black-bellied Whistling-Duck,11,1,Nov_W1,0.0,3314.0
Black-bellied Whistling-Duck,11,2,Nov_W2,0.0,2605.0
Black-bellied Whistling-Duck,11,3,Nov_W3,0.0,2298.0
Black-bellied Whistling-Duck,11,4,Nov_W4,0.0,3045.0
Black-bellied Whistling-Duck,12,1,Dec_W1,0.0,2100.0
Black-bellied Whistling-Duck,12,2,Dec_W2,0.0,2084.0
