species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.008469,0.0,0.0,3,1,winter,No,
Snow Goose,two-passage-migrant,two-passage,0.020452,0.0,0.0,30,2,summer|winter,Yes,classic_bimodal
Ross's Goose,single-season,winter,0.016341,0.0,0.0,25,1,summer,No,overwintering
Snow x Ross's Goose (hybrid),vagrant,irregular,0.00076,0.0,0.0,6,1,winter,No,low_peak_frequency
Graylag Goose,vagrant,irregular,0.046017,0.001429,0.031,48,3,summer|summer|summer,No,three_valleys_irregular
Greater White-fronted Goose,two-passage-migrant,two-passage,0.015887,0.0,0.0,27,2,summer|winter,Yes,classic_bimodal
Cackling Goose,two-passage-migrant,two-passage,0.011132,0.0,0.0,26,2,summer|winter,Yes,classic_bimodal
Canada Goose,resident,year-round,0.658002,0.124078,0.1886,48,0,,No,seasonal_variation|min_max_near_boundary
Graylag x Canada Goose (hybrid),vagrant,irregular,0.0015,0.0,0.0,17,1,winter,No,low_peak_frequency
Mute Swan,resident,year-round,0.255651,0.048882,0.1912,48,0,,No,seasonal_variation|min_max_near_boundary
Black Swan,vagrant,irregular,0.0015,0.0,0.0,3,1,winter,No,low_peak_frequency
Trumpeter Swan,single-season,winter,0.13322,0.011625,0.0873,48,1,summer,No,overwintering
Tundra Swan,single-season,winter,0.021259,0.0,0.0,32,1,summer,Yes,overwintering
Egyptian Goose,vagrant,irregular,0.000499,0.0,0.0,2,1,winter,No,low_peak_frequency
Muscovy Duck,vagrant,irregular,0.0015,0.0,0.0,6,1,winter,No,low_peak_frequency
Wood Duck,single-season,summer,0.201333,0.011133,0.0553,48,1,winter,No,
Mandarin Duck,vagrant,irregular,0.000327,0.0,0.0,1,1,winter,No,low_peak_frequency
Blue-winged Teal,two-passage-migrant,two-passage,0.103604,0.0,0.0,33,2,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.091363,0.0,0.0,41,2,summer|winter,No,classic_bimodal
Gadwall,single-season,winter,0.09338,0.0,0.0,39,1,summer,Yes,overwintering
Northern Shoveler x Gadwall (hybrid),vagrant,irregular,0.002343,0.0,0.0,3,1,winter,No,low_peak_frequency
Eurasian Wigeon,vagrant,irregular,0.00286,0.0,0.0,3,1,winter,No,low_peak_frequency
American Wigeon,two-passage-migrant,two-passage,0.04982,0.0,0.0,36,2,summer|winter,Yes,classic_bimodal
Mallard,resident,year-round,0.537873,0.17037,0.3167,48,0,,No,seasonal_variation
Gadwall x Mallard (hybrid),vagrant,irregular,0.000302,0.0,0.0,2,1,winter,No,low_peak_frequency
American Black Duck,single-season,winter,0.067069,0.0,0.0,47,1,summer,No,overwintering
Mallard x American Black Duck (hybrid),vagrant,irregular,0.003121,0.0,0.0,41,1,winter,No,low_peak_frequency
Northern Pintail,single-season,winter,0.024758,0.0,0.0,35,1,summer,Yes,overwintering
Mallard x Northern Pintail (hybrid),vagrant,irregular,0.000851,0.0,0.0,3,1,winter,No,low_peak_frequency
Green-winged Teal,two-passage-migrant,two-passage,0.036389,0.000217,0.006,48,2,summer|winter,No,classic_bimodal
Canvasback,single-season,winter,0.070355,0.0,0.0,30,1,summer,Yes,overwintering
Redhead,single-season,winter,0.165231,0.0,0.0,32,1,summer,Yes,overwintering
Ring-necked Duck,single-season,winter,0.167028,0.0,0.0,46,1,summer,No,overwintering
Greater Scaup,single-season,winter,0.035522,0.0,0.0,32,1,summer,Yes,overwintering
Lesser Scaup,single-season,winter,0.11885,0.0,0.0,36,1,summer,Yes,overwintering
Harlequin Duck,vagrant,irregular,0.025027,0.0,0.0,8,1,winter,No,
Surf Scoter,single-season,winter,0.013604,0.0,0.0,18,1,summer,Yes,overwintering
White-winged Scoter,two-passage-migrant,two-passage,0.016685,0.0,0.0,22,2,summer|winter,No,classic_bimodal
Black Scoter,vagrant,irregular,0.010181,0.0,0.0,8,2,summer|winter,No,
Long-tailed Duck,two-passage-migrant,two-passage,0.008858,0.0,0.0,20,2,summer|winter,No,classic_bimodal
Bufflehead,single-season,winter,0.215993,0.0,0.0,43,1,summer,Yes,overwintering
Common Goldeneye,single-season,winter,0.164155,0.0,0.0,27,1,summer,Yes,overwintering
Hooded Merganser,single-season,winter,0.168192,0.002096,0.0125,48,2,summer|summer,No,overwintering|two_summer_valleys_merged
Common Merganser,single-season,winter,0.222282,0.0,0.0,47,1,summer,No,overwintering
Red-breasted Merganser,two-passage-migrant,two-passage,0.044823,0.0,0.0,33,2,summer|winter,Yes,classic_bimodal
Ruddy Duck,single-season,winter,0.046103,0.0,0.0,46,1,summer,Yes,overwintering
Helmeted Guineafowl,vagrant,irregular,0.0015,0.0,0.0,4,1,winter,No,low_peak_frequency
Northern Bobwhite,vagrant,irregular,0.003758,0.0,0.0,37,1,winter,No,low_peak_frequency
Wild Turkey,resident,year-round,0.085942,0.019674,0.2289,48,0,,No,seasonal_variation
Ruffed Grouse,vagrant,irregular,0.002592,0.0,0.0,30,1,winter,No,low_peak_frequency
Ring-necked Pheasant,single-season,winter,0.033437,0.000498,0.0149,48,1,summer,No,overwintering
Indian Peafowl,vagrant,irregular,0.0015,0.0,0.0,7,1,winter,No,low_peak_frequency
Chukar,vagrant,irregular,0.000243,0.0,0.0,1,1,winter,No,low_peak_frequency
Rock Pigeon,resident,year-round,0.117888,0.038453,0.3262,48,0,,No,seasonal_variation
Eurasian Collared-Dove,vagrant,irregular,0.004621,0.0,0.0,7,1,winter,No,low_peak_frequency
African Collared-Dove,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Mourning Dove,resident,year-round,0.552624,0.259505,0.4696,48,0,,No,seasonal_variation
Yellow-billed Cuckoo,single-season,summer,0.065364,0.0,0.0,23,1,winter,No,
Black-billed Cuckoo,single-season,summer,0.028944,0.0,0.0,23,1,winter,No,
Common Nighthawk,two-passage-migrant,two-passage,0.048568,0.0,0.0,22,2,summer|winter,No,classic_bimodal
Eastern Whip-poor-will,single-season,summer,0.006155,0.0,0.0,22,1,winter,No,
Chimney Swift,single-season,summer,0.226161,0.0,0.0,28,1,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.305285,0.0,0.0,33,1,winter,No,
Rufous Hummingbird,vagrant,irregular,0.004598,0.0,0.0,5,1,winter,No,low_peak_frequency
