species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,April 22-30,June 1-7
Snow Goose,two-passage-migrant,two-passage,irregular,,March 1-7,,,,,,,,,,,January 1-7,December 22-31
Ross's Goose,single-season,winter,,,,,,,,,,,January 15-21,February 8-14,March 1-7,,
Snow x Ross's Goose (hybrid),vagrant,irregular,irregular,,January 22-31,,,,,,,,,,,,
Graylag Goose,irregular,irregular,irregular,,March 1-7,,,,,,,,,,,January 1-7,December 22-31
Greater White-fronted Goose,two-passage-migrant,two-passage,,,,,January 1-7,February 22-28,March 15-21,November 8-14,November 8-14,November 8-14,,,,,
Cackling Goose,two-passage-migrant,two-passage,,,,,January 1-7,February 22-28,March 8-14,October 15-21,November 8-14,November 8-14,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Graylag x Canada Goose (hybrid),vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,February 1-7,November 22-30
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Black Swan,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,March 1-7,July 1-7
Trumpeter Swan,single-season,winter,,,,,,,,,,,August 8-14,February 1-7,April 15-21,,
Tundra Swan,single-season,winter,,,,,,,,,,,November 1-7,March 1-7,March 22-31,,
Egyptian Goose,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,,
Muscovy Duck,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,June 8-14
Wood Duck,single-season,summer,,March 1-7,April 8-14,November 8-14,,,,,,,,,,,
Mandarin Duck,vagrant,irregular,irregular,,December 22-31,,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,April 22-30,,September 1-7,August 22-31,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 8-14,March 22-31,April 15-21,,November 8-14,November 1-7,,,,,
Gadwall,single-season,winter,,,,,,,,,,,October 8-14,March 1-7,April 22-30,,
Northern Shoveler x Gadwall (hybrid),vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,March 22-31,April 1-7
Eurasian Wigeon,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 8-14,May 1-7
American Wigeon,two-passage-migrant,two-passage,,,,,January 15-21,March 15-21,April 8-14,October 15-21,October 15-21,November 8-14,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
Gadwall x Mallard (hybrid),vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,October 22-31,January 15-21,April 1-7,,
Mallard x American Black Duck (hybrid),vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,January 1-7,December 15-21
Northern Pintail,single-season,winter,,,,,,,,,,,October 8-14,March 1-7,April 1-7,,
Mallard x Northern Pintail (hybrid),vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,April 22-30,September 1-7,October 1-7,November 15-21,,,,,
Canvasback,single-season,winter,,,,,,,,,,,February 1-7,February 22-28,April 1-7,,
Redhead,single-season,winter,,,,,,,,,,,January 15-21,March 1-7,April 1-7,,
Ring-necked Duck,single-season,winter,,,,,,,,,,,February 1-7,March 15-21,April 15-21,,
Greater Scaup,single-season,winter,,,,,,,,,,,January 15-21,March 1-7,March 22-31,,
Lesser Scaup,single-season,winter,,,,,,,,,,,,March 22-31,April 15-21,,
Harlequin Duck,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,February 22-28,April 8-14
Surf Scoter,single-season,winter,,,,,,,,,,,October 15-21,December 15-21,January 1-7,,
White-winged Scoter,two-passage-migrant,two-passage,,,,,January 22-31,March 1-7,March 1-7,November 1-7,November 1-7,November 1-7,,,,,
Black Scoter,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,January 22-31,December 8-14
Long-tailed Duck,two-passage-migrant,two-passage,,,,,February 15-21,March 8-14,March 8-14,October 22-31,November 1-7,November 1-7,,,,,
Bufflehead,single-season,winter,,,,,,,,,,,November 1-7,March 22-31,April 15-21,,
Common Goldeneye,single-season,winter,,,,,,,,,,,November 22-30,March 1-7,March 22-31,,
Hooded Merganser,single-season,winter,,,,,,,,,,,November 8-14,March 1-7,April 8-14,,
Common Merganser,single-season,winter,,,,,,,,,,,December 1-7,March 1-7,April 1-7,,
Red-breasted Merganser,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 15-21,,November 22-30,November 15-21,,,,,
Ruddy Duck,single-season,winter,,,,,,,,,,,October 15-21,April 1-7,April 22-30,,
Helmeted Guineafowl,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,December 1-7
Northern Bobwhite,vagrant,irregular,irregular,,August 8-14,,,,,,,,,,,January 1-7,November 8-14
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,March 22-31,October 8-14
Ring-necked Pheasant,single-season,winter,,,,,,,,,,,,May 8-14,July 1-7,,
Indian Peafowl,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,October 8-14
Chukar,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,,
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Collared-Dove,vagrant,irregular,irregular,,September 8-14,,,,,,,,,,,September 8-14,November 22-30
African Collared-Dove,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,June 22-30
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,single-season,summer,,May 15-21,June 1-7,September 15-21,,,,,,,,,,,
Black-billed Cuckoo,single-season,summer,,May 15-21,May 22-31,September 8-14,,,,,,,,,,,
Common Nighthawk,two-passage-migrant,two-passage,,,,,May 15-21,May 15-21,May 22-31,August 15-21,August 22-31,September 15-21,,,,,
Eastern Whip-poor-will,single-season,summer,,May 15-21,May 15-21,May 15-21,,,,,,,,,,,
Chimney Swift,single-season,summer,,April 22-30,July 22-31,October 1-7,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 8-14,September 1-7,September 22-30,,,,,,,,,,,
Rufous Hummingbird,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,November 1-7,December 1-7
King Rail,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
Virginia Rail,single-season,summer,,April 8-14,April 22-30,June 8-14,,,,,,,,,,,
Sora,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,May 22-31,,September 1-7,August 22-31,,,,,
Common Gallinule,two-passage-migrant,two-passage,,,,,April 22-30,June 1-7,June 1-7,September 1-7,September 1-7,September 8-14,,,,,
American Coot,single-season,winter,,,,,,,,,,,October 1-7,March 22-31,April 22-30,,
Yellow Rail,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 8-14
Limpkin,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 22-31,October 22-31
Sandhill Crane,single-season,summer,,February 15-21,March 15-21,December 15-21,,,,,,,,,,,
Whooping Crane,single-season,summer,,July 1-7,July 1-7,August 8-14,,,,,,,,,,,
Black-necked Stilt,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 8-14
American Avocet,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,June 22-30,November 1-7
Black-bellied Plover,single-season,summer,,August 15-21,September 8-14,September 8-14,,,,,,,,,,,
American Golden-Plover,single-season,summer,,August 22-31,September 8-14,September 15-21,,,,,,,,,,,
Killdeer,single-season,summer,,March 1-7,August 8-14,November 1-7,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 22-31,July 22-31,August 1-7,August 15-21,,,,,
Upland Sandpiper,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 22-30,August 1-7
Hudsonian Whimbrel,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,,
