Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0,3530.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0,2305.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0,2106.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0,2791.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0,2136.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0,2867.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0,3853.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0,2243.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0,2267.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0,2405.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0,2126.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0,2947.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0,2272.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0,2522.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0015,2495.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0,3781.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0,3640.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0,4114.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0040942,2931.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0042343,2834.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0,1636.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,1614.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,1393.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,1609.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0,1286.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0015,1219.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0015,1243.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0,1620.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0,1265.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,1207.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0,1299.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0,1922.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0,1633.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0,1651.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0,2077.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0,2136.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.0,1722.0
Black-bellied Whistling-Duck,10,2,Oct_W2,0.0,1809.0
Black-bellied Whistling-Duck,10,3,Oct_W3,0.0,1633.0
Black-bellied Whistling-Duck,10,4,Oct_W4,0.0,2135.0
Black-bellied Whistling-Duck,11,1,Nov_W1,0.0,1682.0
Black-bellied Whistling-Duck,11,2,Nov_W2,0.0,1696.0
Black-bellied Whistling-Duck,11,3,Nov_W3,0.0,1675.0
Black-bellied Whistling-Duck,11,4,Nov_W4,0.0,1987.0
Black-bellied Whistling-Duck,12,1,Dec_W1,0.0,1631.0
Black-bellied Whistling-Duck,12,2,Dec_W2,0.0,1448.0
Black-bellied Whistling-Duck,12,3,Dec_W3,0.0,1420.0
Black-bellied Whistling-Duck,12,4,Dec_W4,0.0,3002.0
Snow Goose,1,1,Jan_W1,0.0070822,3530.0
Snow Goose,1,2,Jan_W2,0.010846,2305.0
Snow Goose,1,3,Jan_W3,0.0004748,2106.0
Snow Goose,1,4,Jan_W4,0.0003583,2791.0
Snow Goose,2,1,Feb_W1,0.0004682,2136.0
Snow Goose,2,2,Feb_W2,0.0,2867.0
Snow Goose,2,3,Feb_W3,0.0007786,3853.0
Snow Goose,2,4,Feb_W4,0.0004458,2243.0
Snow Goose,3,1,Mar_W1,0.0030878,2267.0
Snow Goose,3,2,Mar_W2,0.0016632,2405.0
Snow Goose,3,3,Mar_W3,0.0028222,2126.0
Snow Goose,3,4,Mar_W4,0.002036,2947.0
Snow Goose,4,1,Apr_W1,0.0004401,2272.0
Snow Goose,4,2,Apr_W2,0.0,2522.0
Snow Goose,4,3,Apr_W3,0.0,2495.0
Snow Goose,4,4,Apr_W4,0.0,3781.0
Snow Goose,5,1,May_W1,0.0,3640.0
Snow Goose,5,2,May_W2,0.0,4114.0
Snow Goose,5,3,May_W3,0.0,2931.0
Snow Goose,5,4,May_W4,0.0,2834.0
Snow Goose,6,1,Jun_W1,0.0,1636.0
